,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,815.0,820,805,815,815.0,0.0124,85306
1,2026-03-17,805.0,820,790,805,805.0,-0.0062,32685
2,2026-03-16,810.0,820,780,810,810.0,-0.0061,56066
3,2026-03-13,815.0,845,800,815,815.0,-0.0181,122370
4,2026-03-12,830.0,835,820,830,830.0,-0.006,69422
5,2026-03-11,835.0,840,830,835,835.0,-0.006,50435
6,2026-03-10,840.0,850,830,840,840.0,0.012,62972
7,2026-03-09,830.0,840,750,830,830.0,-0.006,56936
8,2026-03-06,835.0,850,750,835,835.0,-0.0118,64073
9,2026-03-05,845.0,860,835,845,845.0,-0.0059,177704
10,2026-03-04,850.0,860,830,850,850.0,-0.0116,142879
11,2026-03-03,860.0,900,830,860,860.0,-,119223
12,2026-03-02,860.0,925,850,860,860.0,0.0118,314978
13,2026-02-27,850.0,860,840,850,850.0,-0.0058,144326
14,2026-02-26,855.0,855,840,855,855.0,-,184265
15,2026-02-23,855.0,860,845,855,855.0,0.0059,172096
16,2026-02-20,850.0,855,840,850,850.0,0.0059,70515
17,2026-02-19,845.0,855,800,845,845.0,-0.0117,81043
18,2026-02-18,855.0,880,840,855,855.0,-,105333
19,2026-02-17,855.0,860,845,855,855.0,-0.0058,183280
20,2026-02-16,860.0,860,840,860,860.0,-,165297
21,2026-02-13,860.0,900,840,860,860.0,0.0238,255153
22,2026-02-12,840.0,850,820,840,840.0,0.012,127942
23,2026-02-11,830.0,850,745,830,830.0,-0.0178,53429
24,2026-02-10,845.0,860,800,845,845.0,-0.0287,84932
25,2026-02-09,870.0,900,845,870,870.0,-0.0279,325809
26,2026-02-06,895.0,940,860,895,895.0,-0.011,230930
27,2026-02-05,905.0,950,860,905,905.0,0.0774,253814
28,2026-02-04,840.0,900,830,840,840.0,0.012,165251
29,2026-02-03,830.0,845,800,830,830.0,0.0311,183873
30,2026-02-02,805.0,820,770,805,805.0,0.0255,168280
31,2026-01-30,785.0,800,740,785,785.0,-0.0248,127578
32,2026-01-29,805.0,850,740,805,805.0,-0.064,135390
33,2026-01-28,860.0,990,850,860,860.0,-0.14,205423
34,2026-01-27,1000.0,1015,935,1000,1000.0,0.227,899692
35,2026-01-26,815.0,820,750,815,815.0,-,545632
36,2026-01-23,815.0,820,750,815,815.0,0.1399,545632
37,2026-01-22,715.0,730,660,715,715.0,0.126,517680
38,2026-01-21,635.0,655,590,635,635.0,0.114,505155
39,2026-01-20,570.0,585,530,570,570.0,0.1176,508848
40,2026-01-19,510.0,550,475,510,510.0,0.0625,566038
41,2026-01-16,480.0,500,475,480,480.0,-,193393
42,2026-01-15,480.0,495,470,480,480.0,-,108317
43,2026-01-14,480.0,495,470,480,480.0,-,299282
44,2026-01-13,480.0,500,475,480,480.0,-,361942
45,2026-01-09,480.0,510,475,480,480.0,-,196403
46,2026-01-08,480.0,520,475,480,480.0,-0.0103,113937
47,2026-01-07,485.0,550,475,485,485.0,-,97213
48,2026-01-06,485.0,520,475,485,485.0,-0.0202,194379
49,2026-01-05,495.0,520,475,495,495.0,-0.01,103760
50,2026-01-02,500.0,510,470,500,500.0,0.0101,33105
51,2025-12-31,495.0,510,465,495,495.0,0.0313,38595
52,2025-12-30,480.0,505,460,480,480.0,-0.0303,143501
53,2025-12-29,495.0,510,450,495,495.0,0.0206,64825
54,2025-12-24,485.0,510,450,485,485.0,0.0659,27856
55,2025-12-23,455.0,455,450,455,455.0,-,76838
56,2025-12-22,455.0,455,450,455,455.0,-,51481
57,2025-12-19,455.0,455,450,455,455.0,-0.0109,43938
58,2025-12-18,460.0,500,450,460,460.0,-0.0707,80363
59,2025-12-17,495.0,510,470,495,495.0,-,29914
60,2025-12-16,495.0,520,470,495,495.0,0.0102,44237
61,2025-12-15,490.0,500,480,490,490.0,0.0208,23278
