,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2016-03-18,208.22,395.0,390.0,390,208.22,-,44703
1,2016-03-21,208.22,400.0,390.0,390,208.22,-,42626
2,2016-03-22,208.22,395.0,390.0,390,208.22,-,38961
3,2016-03-23,208.22,390.0,390.0,390,208.22,-,2220
4,2016-03-24,208.22,390.0,390.0,390,208.22,-,67427
5,2016-03-29,208.22,390.0,390.0,390,208.22,-,960
6,2016-03-30,208.22,390.0,390.0,390,208.22,-,13173
7,2016-03-31,208.22,390.0,385.0,390,208.22,-,255212
8,2016-04-01,208.22,395.0,385.0,390,208.22,-,33945
9,2016-04-04,205.55,390.0,380.0,385,205.55,-0.0128,171953
10,2016-04-05,205.55,390.0,380.0,385,205.55,-,26626
11,2016-04-06,205.55,385.0,380.0,385,205.55,-,8090
12,2016-04-08,202.88,380.0,380.0,380,202.88,-0.013,19010
13,2016-04-11,202.88,380.0,380.0,380,202.88,-,56080
14,2016-04-12,200.21,385.0,375.0,375,200.21,-0.0132,113771
15,2016-04-13,200.21,380.0,375.0,375,200.21,-,34007
16,2016-04-14,200.21,380.0,370.0,375,200.21,-,3610
17,2016-04-15,200.21,375.0,375.0,375,200.21,-,87381
18,2016-04-18,200.21,375.0,370.0,375,200.21,-,273586
19,2016-04-19,200.21,380.0,375.0,375,200.21,-,169634
20,2016-04-20,200.21,380.0,375.0,375,200.21,-,15080
21,2016-04-21,200.21,380.0,370.0,375,200.21,-,505115
22,2016-04-22,200.21,380.0,375.0,375,200.21,-,704331
23,2016-04-25,202.88,380.0,375.0,380,202.88,0.0133,431887
24,2016-04-27,205.55,385.0,385.0,385,205.55,0.0132,86040
25,2016-04-28,205.55,390.0,380.0,385,205.55,-,233214
26,2016-04-29,208.22,390.0,385.0,390,208.22,0.013,5150
27,2016-05-02,202.88,385.0,375.0,380,202.88,-0.0256,225438
28,2016-05-03,205.55,385.0,380.0,385,205.55,0.0132,454577
29,2016-05-04,215.05,390.0,380.0,385,215.05,-,68342
30,2016-05-05,209.46,380.0,375.0,375,209.46,-0.026,141933
31,2016-05-06,212.25,380.0,375.0,380,212.25,0.0133,64395
32,2016-05-09,212.25,380.0,380.0,380,212.25,-,30840
33,2016-05-10,212.25,380.0,380.0,380,212.25,-,78648
34,2016-05-11,212.25,400.0,380.0,380,212.25,-,1227525
35,2016-05-12,215.05,390.0,380.0,385,215.05,0.0132,20925
36,2016-05-13,215.05,385.0,385.0,385,215.05,-,48992
37,2016-05-16,215.05,400.0,385.0,385,215.05,-,128727
38,2016-05-17,212.25,395.0,380.0,380,212.25,-0.013,2406395
39,2016-05-18,212.25,385.0,380.0,380,212.25,-,7226
40,2016-05-19,212.25,380.0,375.0,380,212.25,-,15210
41,2016-05-20,209.46,380.0,375.0,375,209.46,-0.0132,44792
42,2016-05-23,212.25,385.0,375.0,380,212.25,0.0133,36852
43,2016-05-24,212.25,380.0,370.0,380,212.25,-,6635
44,2016-05-25,212.25,380.0,370.0,380,212.25,-,10784
45,2016-05-26,212.25,380.0,375.0,380,212.25,-,804278
46,2016-05-27,206.67,375.0,370.0,370,206.67,-0.0263,8740
47,2016-05-30,206.67,380.0,370.0,370,206.67,-,20170
48,2016-05-31,206.67,370.0,370.0,370,206.67,-,8720
49,2016-06-01,206.67,370.0,370.0,370,206.67,-,310
50,2016-06-02,206.67,370.0,370.0,370,206.67,-,11480
51,2016-06-03,206.67,370.0,370.0,370,206.67,-,26145
52,2016-06-06,206.67,370.0,370.0,370,206.67,-,19362
53,2016-06-07,206.67,370.0,370.0,370,206.67,-,600
54,2016-06-08,203.88,370.0,350.0,365,203.88,-0.0135,29260
55,2016-06-09,198.29,370.0,350.0,355,198.29,-0.0274,16596
56,2016-06-10,198.29,370.0,350.0,355,198.29,-,3460
57,2016-06-13,198.29,365.0,355.0,355,198.29,-,2490
58,2016-06-14,195.5,350.0,350.0,350,195.5,-0.0141,16710
59,2016-06-15,192.71,350.0,320.0,345,192.7,-0.0143,14120
60,2016-06-16,189.91,355.0,320.0,340,189.91,-0.0145,2695730
61,2016-06-17,195.5,350.0,340.0,350,195.5,0.0294,2690
62,2016-06-20,178.74,355.0,320.0,320,178.74,-0.0857,3543
63,2016-06-21,178.74,345.0,320.0,320,178.74,-,50639
64,2016-06-22,178.74,320.0,320.0,320,178.74,-,10325
65,2016-06-23,178.74,320.0,320.0,320,178.74,-,38930
66,2016-06-24,178.74,320.0,320.0,320,178.74,-,3951
67,2016-06-27,178.74,320.0,320.0,320,178.74,-,13450
68,2016-06-28,173.16,310.0,310.0,310,173.15,-0.0313,41040
69,2016-06-29,173.16,310.0,290.0,310,173.15,-,111706
70,2016-06-30,173.16,310.0,310.0,310,173.15,-,3475844
71,2016-07-01,167.57,310.0,300.0,300,167.57,-0.0323,33847
72,2016-07-04,167.57,300.0,300.0,300,167.57,-,9235
73,2016-07-05,164.78,300.0,295.0,295,164.78,-0.0167,10730
74,2016-07-08,167.57,300.0,290.0,300,167.57,0.0169,852077
75,2016-07-11,164.78,300.0,290.0,295,164.78,-0.0167,702775
76,2016-07-12,161.98,295.0,290.0,290,161.98,-0.0169,5150
77,2016-07-13,159.19,295.0,270.0,285,159.19,-0.0172,269985
78,2016-07-14,161.98,290.0,285.0,290,161.98,0.0175,922280
79,2016-07-15,161.98,295.0,290.0,290,161.98,-,17295
80,2016-07-18,161.98,300.0,290.0,290,161.98,-,312370
81,2016-07-19,161.98,290.0,290.0,290,161.98,-,83614
82,2016-07-20,161.98,310.0,290.0,290,161.98,-,493866
83,2016-07-21,161.98,295.0,290.0,290,161.98,-,227295
84,2016-07-22,167.57,300.0,300.0,300,167.57,0.0345,8680
85,2016-07-25,167.57,300.0,295.0,300,167.57,-,109208
86,2016-07-26,164.78,300.0,295.0,295,164.78,-0.0167,86322
87,2016-07-27,164.78,300.0,295.0,295,164.78,-,282595
88,2016-07-28,164.78,300.0,295.0,295,164.78,-,136070
89,2016-07-29,164.78,300.0,295.0,295,164.78,-,149151
90,2016-08-01,164.78,300.0,295.0,295,164.78,-,421658
91,2016-08-02,164.78,295.0,290.0,295,164.78,-,248774
92,2016-08-03,161.98,290.0,290.0,290,161.98,-0.0169,19790
93,2016-08-04,161.98,290.0,290.0,290,161.98,-,35240
94,2016-08-05,164.78,295.0,290.0,295,164.78,0.0172,610404
95,2016-08-09,164.78,300.0,295.0,295,164.78,-,18473
96,2016-08-10,164.78,295.0,295.0,295,164.78,-,171310
97,2016-08-11,164.78,295.0,295.0,295,164.78,-,284165
98,2016-08-12,164.78,300.0,295.0,295,164.78,-,167511
99,2016-08-15,164.78,300.0,295.0,295,164.78,-,47079
