,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,740.0,770.0,700.0,740,740.0,-0.0513,74611
1,2026-03-17,780.0,800.0,770.0,780,780.0,-0.0189,117593
2,2026-03-16,795.0,820.0,775.0,795,795.0,-,95885
3,2026-03-13,795.0,830.0,740.0,795,795.0,-0.0305,312945
4,2026-03-12,820.0,900.0,785.0,820,820.0,0.0446,305011
5,2026-03-11,785.0,785.0,740.0,785,785.0,0.146,95331
6,2026-03-10,685.0,740.0,645.0,685,685.0,0.062,318396
7,2026-03-09,645.0,665.0,575.0,645,645.0,-0.0444,288625
8,2026-03-06,675.0,750.0,665.0,675,675.0,-0.1346,113869
9,2026-03-05,780.0,820.0,710.0,780,780.0,-0.0659,489066
10,2026-03-04,835.0,865.0,755.0,835,835.0,0.106,725205
11,2026-03-03,755.0,755.0,680.0,755,755.0,0.1439,234072
12,2026-03-02,660.0,680.0,600.0,660,660.0,0.1092,256129
13,2026-02-27,595.0,600.0,510.0,595,595.0,0.1333,803053
14,2026-02-26,525.0,560.0,495.0,525,525.0,0.0606,414167
15,2026-02-23,495.0,550.0,475.0,495,495.0,0.0313,368808
16,2026-02-20,480.0,485.0,470.0,480,480.0,-,156153
17,2026-02-19,480.0,500.0,470.0,480,480.0,0.0323,237874
18,2026-02-18,465.0,475.0,445.0,465,465.0,0.0333,406603
19,2026-02-17,450.0,465.0,435.0,450,450.0,0.0227,204407
20,2026-02-16,440.0,455.0,420.0,440,440.0,0.0476,133496
21,2026-02-13,420.0,430.0,410.0,420,420.0,0.037,99439
22,2026-02-12,405.0,415.0,400.0,405,405.0,-,77195
23,2026-02-11,405.0,415.0,370.0,405,405.0,-,68236
24,2026-02-10,405.0,430.0,370.0,405,405.0,-0.0122,142978
25,2026-02-09,410.0,465.0,400.0,410,410.0,0.0123,190493
26,2026-02-06,405.0,415.0,365.0,405,405.0,0.1096,101974
27,2026-02-05,365.0,365.0,350.0,365,365.0,0.1406,45069
28,2026-02-04,320.0,350.0,305.0,320,320.0,0.0492,92487
29,2026-02-03,305.0,315.0,270.0,305,305.0,-0.0317,160354
30,2026-02-02,315.0,335.0,300.0,315,315.0,-0.1,109772
31,2026-01-30,350.0,390.0,335.0,350,350.0,-0.1026,61494
32,2026-01-29,390.0,435.0,370.0,390,390.0,-0.093,201397
33,2026-01-28,430.0,440.0,405.0,430,430.0,-0.0227,340445
34,2026-01-27,440.0,450.0,420.0,440,440.0,0.0353,236557
35,2026-01-26,425.0,470.0,400.0,425,425.0,-,684643
36,2026-01-23,425.0,470.0,400.0,425,425.0,-0.0957,684643
37,2026-01-22,470.0,470.0,410.0,470,470.0,0.1463,615996
38,2026-01-21,410.0,410.0,360.0,410,410.0,0.1389,283556
