,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,6600.0,6600.0,6580.0,6600,6600.0,-,1535
1,2026-03-17,6600.0,6600.0,6580.0,6600,6600.0,-,2820
2,2026-03-16,6600.0,6600.0,6550.0,6600,6600.0,0.0015,3251
3,2026-03-13,6590.0,6600.0,6450.0,6590,6590.0,-0.012,2995
4,2026-03-12,6670.0,7200.0,6440.0,6670,6670.0,0.0357,6848
5,2026-03-11,6440.0,6440.0,6400.0,6440,6440.0,0.0078,5814
6,2026-03-10,6390.0,6440.0,6350.0,6390,6390.0,-,4244
7,2026-03-09,6390.0,6390.0,6370.0,6390,6390.0,-0.0078,4316
8,2026-03-06,6440.0,6440.0,6400.0,6440,6440.0,-0.0092,6719
9,2026-03-05,6500.0,6500.0,6400.0,6500,6500.0,-,4405
10,2026-03-04,6500.0,6700.0,6410.0,6500,6500.0,0.0125,2020
11,2026-03-03,6420.0,6760.0,6000.0,6420,6420.0,-0.0475,4748
12,2026-03-02,6740.0,6770.0,6000.0,6740,6740.0,0.003,14526
13,2026-02-27,6720.0,6770.0,6700.0,6720,6720.0,-0.0074,6337
14,2026-02-26,6770.0,6790.0,6700.0,6770,6770.0,-0.0059,16302
15,2026-02-23,6810.0,7000.0,6780.0,6810,6810.0,-0.0058,9113
16,2026-02-20,6850.0,6850.0,6780.0,6850,6850.0,0.0103,5156
17,2026-02-19,6780.0,6850.0,6740.0,6780,6780.0,0.003,8279
18,2026-02-18,6760.0,6970.0,6670.0,6760,6760.0,-0.0131,6643
19,2026-02-17,6850.0,6970.0,6670.0,6850,6850.0,0.0178,6965
20,2026-02-16,6730.0,6970.0,6650.0,6730,6730.0,-0.0358,3184
21,2026-02-13,6980.0,7000.0,6510.0,6980,6980.0,-0.0029,4978
22,2026-02-12,7000.0,7000.0,6960.0,7000,7000.0,0.0029,2360
23,2026-02-11,6980.0,6980.0,6000.0,6980,6980.0,-0.0014,3632
24,2026-02-10,6990.0,7000.0,6980.0,6990,6990.0,-0.0057,4250
25,2026-02-09,7030.0,7150.0,7000.0,7030,7030.0,-0.0028,4351
26,2026-02-06,7050.0,7150.0,6990.0,7050,7050.0,0.0086,2307
27,2026-02-05,6990.0,7000.0,6980.0,6990,6990.0,-0.0127,3141
28,2026-02-04,7080.0,7180.0,6860.0,7080,7080.0,0.0321,10420
29,2026-02-03,6860.0,6980.0,6100.0,6860,6860.0,-0.0365,3802
30,2026-02-02,7120.0,7130.0,6200.0,7120,7120.0,-,1561
31,2026-01-30,7120.0,7130.0,6100.0,7120,7120.0,-0.0042,1627
32,2026-01-29,7150.0,7150.0,7000.0,7150,7150.0,0.0028,1489
33,2026-01-28,7130.0,7200.0,7000.0,7130,7130.0,-0.0179,1817
34,2026-01-27,7260.0,7350.0,7000.0,7260,7260.0,0.0111,3389
