,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,2600.0,2780.0,2580.0,2600,2600.0,-,6042
1,2026-03-17,2600.0,2820.0,2580.0,2600,2600.0,-0.0335,4958
2,2026-03-16,2690.0,2900.0,2600.0,2690,2690.0,-0.0037,3984
3,2026-03-13,2700.0,2820.0,2650.0,2700,2700.0,-0.011,11014
4,2026-03-12,2730.0,2820.0,2700.0,2730,2730.0,0.1053,11811
5,2026-03-11,2470.0,2900.0,2400.0,2470,2470.0,-0.0985,13663
6,2026-03-10,2740.0,2900.0,2550.0,2740,2740.0,0.0418,5455
7,2026-03-09,2630.0,2870.0,2500.0,2630,2630.0,-0.015,9748
8,2026-03-06,2670.0,2770.0,2500.0,2670,2670.0,-0.0074,4697
9,2026-03-05,2690.0,2750.0,2670.0,2690,2690.0,0.0113,4882
10,2026-03-04,2660.0,2800.0,2650.0,2660,2660.0,-0.0859,4462
11,2026-03-03,2910.0,3250.0,2650.0,2910,2910.0,-0.0613,12687
12,2026-03-02,3100.0,3250.0,2870.0,3100,3100.0,0.0839,20331
13,2026-02-27,2860.0,2900.0,2700.0,2860,2860.0,0.1085,10971
14,2026-02-26,2580.0,2870.0,2450.0,2580,2580.0,-0.0883,14919
15,2026-02-23,2830.0,2860.0,2400.0,2830,2830.0,0.132,18456
16,2026-02-20,2500.0,2830.0,2400.0,2500,2500.0,-0.1135,53079
17,2026-02-19,2820.0,3200.0,2800.0,2820,2820.0,0.0036,48468
18,2026-02-18,2810.0,2870.0,2610.0,2810,2810.0,0.124,18729
19,2026-02-17,2500.0,2610.0,2300.0,2500,2500.0,0.1013,17241
20,2026-02-16,2270.0,2590.0,2200.0,2270,2270.0,-0.0087,21810
21,2026-02-13,2290.0,2320.0,2100.0,2290,2290.0,0.1337,19948
22,2026-02-12,2020.0,2250.0,1980.0,2020,2020.0,0.005,44988
23,2026-02-11,2010.0,2020.0,1900.0,2010,2010.0,-0.005,36282
24,2026-02-10,2020.0,2120.0,1900.0,2020,2020.0,0.0919,62055
25,2026-02-09,1850.0,1870.0,1640.0,1850,1850.0,0.135,3102
26,2026-02-06,1630.0,1640.0,1430.0,1630,1630.0,0.1399,3837
27,2026-02-05,1430.0,1430.0,1430.0,1430,1430.0,0.144,5222
28,2026-02-04,1250.0,1430.0,1240.0,1250,1250.0,-0.1379,28332
29,2026-02-03,1450.0,1650.0,1430.0,1450,1450.0,-0.1369,8298
30,2026-02-02,1680.0,1800.0,1650.0,1680,1680.0,-0.134,5130
31,2026-01-30,1940.0,2050.0,1800.0,1940,1940.0,-0.0806,7556
32,2026-01-29,2110.0,2350.0,2050.0,2110,2110.0,-0.1097,3163
33,2026-01-28,2370.0,2490.0,2200.0,2370,2370.0,-0.0814,10553
34,2026-01-27,2580.0,2790.0,2490.0,2580,2580.0,-0.1513,3437
35,2026-01-26,3040.0,3200.0,2960.0,3040,3040.0,-,22919
36,2026-01-23,3040.0,3200.0,2960.0,3040,3040.0,0.0857,22919
37,2026-01-22,2800.0,2960.0,2540.0,2800,2800.0,0.0853,21541
38,2026-01-21,2580.0,2760.0,2160.0,2580,2580.0,0.075,34401
39,2026-01-20,2400.0,2480.0,2170.0,2400,2400.0,0.1111,36657
40,2026-01-19,2160.0,2170.0,2050.0,2160,2160.0,0.1429,21217
41,2026-01-16,1890.0,1980.0,1740.0,1890,1890.0,0.0925,4153
42,2026-01-15,1730.0,1740.0,1600.0,1730,1730.0,0.1382,9929
43,2026-01-14,1520.0,1550.0,1500.0,1520,1520.0,0.1259,10350
44,2026-01-13,1350.0,1420.0,1200.0,1350,1350.0,0.0887,35249
45,2026-01-09,1240.0,1240.0,1140.0,1240,1240.0,0.1429,15056
46,2026-01-08,1085.0,1140.0,1000.0,1085,1085.0,0.0905,8989
47,2026-01-07,995.0,1000.0,930.0,995,995.0,0.1243,13062
48,2026-01-06,885.0,930.0,840.0,885,885.0,0.0926,6635
49,2026-01-05,810.0,850.0,800.0,810,810.0,0.0253,6132
50,2026-01-02,790.0,790.0,780.0,790,790.0,0.0464,4575
51,2025-12-31,755.0,790.0,745.0,755,755.0,-,3203
52,2025-12-30,755.0,790.0,710.0,755,755.0,0.0067,9722
53,2025-12-29,750.0,760.0,750.0,750,750.0,0.0274,3359
54,2025-12-24,730.0,750.0,700.0,730,730.0,0.0429,4921
55,2025-12-23,700.0,700.0,700.0,700,700.0,-0.0411,1362
56,2025-12-22,730.0,740.0,700.0,730,730.0,0.0282,12244
57,2025-12-19,710.0,740.0,600.0,710,710.0,0.0923,7080
58,2025-12-18,650.0,650.0,650.0,650,650.0,0.0317,3820
59,2025-12-17,630.0,700.0,600.0,630,630.0,0.0161,2637
60,2025-12-16,620.0,620.0,600.0,620,620.0,-,139
61,2025-12-15,620.0,650.0,600.0,620,620.0,-0.0159,2748
62,2025-12-12,630.0,630.0,610.0,630,630.0,0.05,1402
63,2025-12-11,600.0,620.0,550.0,600,600.0,0.0084,2530
64,2025-12-10,595.0,620.0,550.0,595,595.0,-0.0246,6095
65,2025-12-08,610.0,620.0,610.0,610,610.0,-,1436
66,2025-12-05,610.0,610.0,610.0,610,610.0,0.0427,400
67,2025-12-04,585.0,630.0,570.0,585,585.0,0.0636,2620
68,2025-12-03,550.0,550.0,510.0,550,550.0,-0.0756,1734
69,2025-12-02,595.0,630.0,550.0,595,595.0,-0.0083,3035
70,2025-12-01,600.0,600.0,600.0,600,600.0,0.0169,2226
71,2025-11-28,590.0,590.0,570.0,590,590.0,-,4813
72,2025-11-27,590.0,590.0,570.0,590,590.0,0.0442,1055
73,2025-11-26,565.0,590.0,550.0,565,565.0,-0.0424,1813
74,2025-11-25,590.0,600.0,590.0,590,590.0,-,327
75,2025-11-24,590.0,600.0,550.0,590,590.0,-,5307
76,2025-11-21,590.0,590.0,590.0,590,590.0,-0.0084,371
77,2025-11-20,595.0,600.0,590.0,595,595.0,-0.0083,534
78,2025-11-19,600.0,680.0,600.0,600,600.0,-0.1045,2433
79,2025-11-18,670.0,670.0,600.0,670,670.0,-,1327
