,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,1810.0,1810.0,1750.0,1810,1810.0,0.0523,5352
1,2026-03-17,1720.0,1860.0,1700.0,1720,1720.0,-0.0995,8469
2,2026-03-16,1910.0,2000.0,1700.0,1910,1910.0,0.0269,9796
3,2026-03-13,1860.0,1900.0,1610.0,1860,1860.0,0.1205,11820
4,2026-03-12,1660.0,1900.0,1610.0,1660,1660.0,-0.0879,17032
5,2026-03-11,1820.0,1900.0,1600.0,1820,1820.0,0.0581,18804
6,2026-03-10,1720.0,1900.0,1600.0,1720,1720.0,-0.0851,9347
7,2026-03-09,1880.0,1950.0,1840.0,1880,1880.0,-0.1296,7890
8,2026-03-06,2160.0,2180.0,1900.0,2160,2160.0,0.0047,19469
9,2026-03-05,2150.0,2180.0,2100.0,2150,2150.0,-0.1152,19576
10,2026-03-04,2430.0,2590.0,2150.0,2430,2430.0,0.0752,19057
11,2026-03-03,2260.0,2460.0,2180.0,2260,2260.0,0.0561,15051
12,2026-03-02,2140.0,2180.0,1900.0,2140,2140.0,0.1263,116670
13,2026-02-27,1900.0,1900.0,1760.0,1900,1900.0,0.1446,23954
14,2026-02-26,1660.0,1740.0,1630.0,1660,1660.0,0.0921,54880
15,2026-02-23,1520.0,1630.0,1500.0,1520,1520.0,0.0704,42157
16,2026-02-20,1420.0,1510.0,1340.0,1420,1420.0,0.0758,19886
17,2026-02-19,1320.0,1340.0,1220.0,1320,1320.0,0.1282,10580
18,2026-02-18,1170.0,1170.0,1150.0,1170,1170.0,0.1471,40073
19,2026-02-17,1020.0,1050.0,960.0,1020,1020.0,0.0737,5799
20,2026-02-16,950.0,950.0,935.0,950,950.0,0.0215,1232
21,2026-02-13,930.0,930.0,860.0,930,930.0,0.1481,7178
22,2026-02-12,810.0,860.0,780.0,810,810.0,0.0519,6371
23,2026-02-11,770.0,810.0,700.0,770,770.0,0.0922,19908
24,2026-02-10,705.0,715.0,700.0,705,705.0,0.0763,17743
25,2026-02-09,655.0,730.0,650.0,655,655.0,0.0315,13209
26,2026-02-06,635.0,650.0,600.0,635,635.0,-,24976
27,2026-02-05,635.0,640.0,570.0,635,635.0,0.114,15879
28,2026-02-04,570.0,640.0,550.0,570,570.0,-0.1163,5609
29,2026-02-03,645.0,750.0,640.0,645,645.0,-0.14,6936
30,2026-02-02,750.0,765.0,640.0,750,750.0,-,1859
31,2026-01-30,750.0,780.0,710.0,750,750.0,-0.0909,6686
32,2026-01-29,825.0,920.0,780.0,825,825.0,-0.0571,9767
33,2026-01-28,875.0,920.0,800.0,875,875.0,0.0802,19320
34,2026-01-27,810.0,850.0,790.0,810,810.0,0.1825,26773
35,2026-01-26,685.0,695.0,635.0,685,685.0,-,13556
36,2026-01-23,685.0,695.0,635.0,685,685.0,0.1322,13556
37,2026-01-22,605.0,630.0,600.0,605,605.0,0.0168,1257
38,2026-01-21,595.0,600.0,590.0,595,595.0,0.0625,581
39,2026-01-20,560.0,570.0,550.0,560,560.0,0.1089,12970
40,2026-01-19,505.0,560.0,500.0,505,505.0,0.0202,4102
41,2026-01-16,495.0,500.0,450.0,495,495.0,-0.01,5580
42,2026-01-15,500.0,500.0,445.0,500,500.0,-,5565
43,2026-01-14,500.0,500.0,445.0,500,500.0,-,4804
44,2026-01-13,500.0,500.0,480.0,500,500.0,0.0101,2199
45,2026-01-09,495.0,500.0,480.0,495,495.0,0.0313,590
46,2026-01-08,480.0,480.0,465.0,480,480.0,-,2713
47,2026-01-07,480.0,480.0,465.0,480,480.0,-,3228
48,2026-01-06,480.0,480.0,465.0,480,480.0,0.0213,2856
49,2026-01-05,470.0,470.0,460.0,470,470.0,-,939
50,2026-01-02,470.0,470.0,450.0,470,470.0,0.0217,1157
51,2025-12-31,460.0,465.0,450.0,460,460.0,-0.0108,897
52,2025-12-30,465.0,465.0,440.0,465,465.0,0.0449,3989
53,2025-12-29,445.0,450.0,445.0,445,445.0,-0.022,2173
54,2025-12-24,455.0,455.0,400.0,455,455.0,-,212
55,2025-12-23,455.0,480.0,445.0,455,455.0,-0.0521,598
56,2025-12-22,480.0,480.0,470.0,480,480.0,0.0213,767
57,2025-12-19,470.0,480.0,470.0,470,470.0,-,2104
58,2025-12-18,470.0,480.0,470.0,470,470.0,-0.0105,341
59,2025-12-17,475.0,480.0,420.0,475,475.0,0.0556,2347
60,2025-12-16,450.0,480.0,400.0,450,450.0,-,5083
61,2025-12-15,450.0,450.0,400.0,450,450.0,-0.011,5537
62,2025-12-12,455.0,480.0,450.0,455,455.0,-0.0109,385
63,2025-12-11,460.0,460.0,455.0,460,460.0,-,166
64,2025-12-10,460.0,490.0,450.0,460,460.0,-0.0515,2011
65,2025-12-08,485.0,490.0,450.0,485,485.0,0.0778,1731
66,2025-12-05,450.0,490.0,450.0,450,450.0,-0.0816,9703
67,2025-12-04,490.0,490.0,490.0,490,490.0,-0.0297,4425
68,2025-12-03,505.0,510.0,450.0,505,505.0,0.0745,1689
69,2025-12-02,470.0,560.0,465.0,470,470.0,-0.06,2587
70,2025-12-01,500.0,500.0,500.0,500,500.0,-,40
71,2025-11-28,500.0,560.0,500.0,500,500.0,-0.0826,1692
72,2025-11-27,545.0,560.0,500.0,545,545.0,0.0792,468
73,2025-11-26,505.0,560.0,500.0,505,505.0,-0.0648,651
74,2025-11-25,540.0,580.0,515.0,540,540.0,-0.0357,2881
75,2025-11-24,560.0,590.0,515.0,560,560.0,0.0874,519
76,2025-11-21,515.0,530.0,515.0,515,515.0,0.1075,1884
77,2025-11-20,465.0,555.0,450.0,465,465.0,-0.0971,2210
78,2025-11-19,515.0,555.0,500.0,515,515.0,0.0619,2795
79,2025-11-18,203.75,515.0,450.0,485,203.75,0.0778,20951
80,2025-11-17,189.05,500.0,400.0,450,189.05,0.0227,34397
81,2025-11-14,184.85,450.0,440.0,440,184.85,0.0115,7799
82,2025-11-13,182.75,445.0,400.0,435,182.74,0.0875,5492
83,2025-11-12,168.04,400.0,390.0,400,168.04,0.0256,244
84,2025-11-11,163.84,390.0,390.0,390,163.84,-,1165
85,2025-11-10,163.84,400.0,390.0,390,163.84,0.0541,2106
86,2025-11-07,155.44,400.0,360.0,370,155.44,-,135
87,2025-11-06,155.44,400.0,360.0,370,155.44,-,292
88,2025-11-05,155.44,400.0,360.0,370,155.44,-,271
89,2025-11-04,155.44,370.0,370.0,370,155.44,-,30
90,2025-10-30,155.44,370.0,370.0,370,155.44,-,27
91,2025-10-28,155.44,370.0,370.0,370,155.44,-,2270
92,2025-10-27,155.44,370.0,370.0,370,155.44,-,1122
93,2025-10-24,155.44,370.0,370.0,370,155.44,-,700
94,2025-10-23,155.44,370.0,370.0,370,155.44,-,116
95,2025-10-21,155.44,370.0,370.0,370,155.44,0.0278,160
96,2025-10-20,151.24,370.0,360.0,360,151.24,-,1273
97,2025-10-17,151.24,360.0,360.0,360,151.24,-,203
98,2025-10-16,151.24,370.0,360.0,360,151.24,-,1246
99,2025-10-15,151.24,360.0,350.0,360,151.24,-,16365
100,2025-10-13,151.24,360.0,350.0,360,151.24,-,1294
101,2025-10-10,151.24,360.0,360.0,360,151.24,-,645
102,2025-10-09,151.24,360.0,350.0,360,151.24,-0.027,1764
103,2025-10-08,155.44,370.0,360.0,370,155.44,-,296
104,2025-10-07,155.44,370.0,360.0,370,155.44,0.0278,843
105,2025-10-06,151.24,370.0,360.0,360,151.24,-0.027,234
106,2025-10-03,155.44,370.0,370.0,370,155.44,-,1072
107,2025-10-02,155.44,400.0,370.0,370,155.44,-0.075,4315
108,2025-10-01,168.04,400.0,400.0,400,168.04,0.0127,364
109,2025-09-30,165.94,400.0,370.0,395,165.94,-0.0125,654
110,2025-09-29,168.04,400.0,360.0,400,168.04,-0.0476,440
111,2025-09-26,176.44,420.0,420.0,420,176.44,-,607
112,2025-09-25,176.44,420.0,420.0,420,176.44,-0.0233,2556
113,2025-09-24,180.64,450.0,420.0,430,180.64,-0.1224,675
114,2025-09-23,205.85,490.0,450.0,490,205.85,-,371
115,2025-09-22,205.85,530.0,490.0,490,205.85,-,372
116,2025-09-19,205.85,490.0,490.0,490,205.85,-,235
117,2025-09-18,205.85,490.0,490.0,490,205.85,-,117
118,2025-09-17,205.85,490.0,450.0,490,205.85,0.0889,246
119,2025-09-16,189.05,450.0,450.0,450,189.05,-,84
120,2025-09-15,189.05,470.0,425.0,450,189.05,-0.0426,225
121,2025-09-12,197.45,470.0,400.0,470,197.45,0.1059,574
122,2025-09-11,178.54,470.0,425.0,425,178.54,-0.086,585
123,2025-09-10,195.35,470.0,400.0,465,195.35,0.022,824
124,2025-09-09,191.15,470.0,450.0,455,191.15,-0.0109,879
125,2025-09-08,193.25,460.0,450.0,460,193.25,0.15,572
126,2025-09-04,168.04,450.0,400.0,400,168.04,-,46
127,2025-09-03,168.04,400.0,400.0,400,168.04,-,1232
128,2025-09-02,168.04,400.0,400.0,400,168.04,0.0256,528
129,2025-09-01,163.84,400.0,390.0,390,163.84,0.0263,1664
130,2025-08-29,159.64,390.0,380.0,380,159.64,-,295
131,2025-08-28,159.64,410.0,380.0,380,159.64,-,130
132,2025-08-27,159.64,410.0,380.0,380,159.64,-,662
133,2025-08-26,159.64,380.0,380.0,380,159.64,-,434
134,2025-08-25,159.64,380.0,380.0,380,159.64,0.027,936
135,2025-08-22,155.44,380.0,370.0,370,155.44,0.0278,242
136,2025-08-21,151.24,360.0,360.0,360,151.24,-,470
137,2025-08-20,151.24,360.0,360.0,360,151.24,-,1180
138,2025-08-19,151.24,380.0,360.0,360,151.24,0.0588,1655
139,2025-08-18,142.84,350.0,340.0,340,142.84,0.1148,1411
140,2025-08-15,128.13,305.0,300.0,305,128.13,-,1410
141,2025-08-14,128.13,310.0,305.0,305,128.13,0.1091,1000
142,2025-08-13,115.53,275.0,275.0,275,115.53,-,30
143,2025-08-12,115.53,300.0,275.0,275,115.53,-,110
144,2025-08-11,115.53,280.0,275.0,275,115.53,-,398
145,2025-08-07,115.53,275.0,265.0,275,115.53,0.0377,1015
146,2025-08-06,111.33,275.0,265.0,265,111.33,0.0816,610
147,2025-08-04,102.93,250.0,245.0,245,102.93,-,60
148,2025-08-01,102.93,245.0,235.0,245,102.93,0.1395,4512
149,2025-07-30,90.32,215.0,200.0,215,90.32,-,33
150,2025-07-28,90.32,235.0,200.0,215,90.32,-0.0652,1524
151,2025-07-25,96.62,235.0,230.0,230,96.62,-,417
152,2025-07-24,96.62,230.0,230.0,230,96.62,-,220
153,2025-07-23,96.62,230.0,230.0,230,96.62,-,1300
154,2025-07-22,96.62,230.0,230.0,230,96.62,-,196
155,2025-07-21,96.62,230.0,230.0,230,96.62,-,190
156,2025-07-18,96.62,230.0,230.0,230,96.62,-,310
157,2025-07-17,96.62,230.0,230.0,230,96.62,-,550
158,2025-07-16,96.62,230.0,230.0,230,96.62,-,40
159,2025-07-15,96.62,230.0,230.0,230,96.62,-,120
160,2025-07-14,96.62,230.0,230.0,230,96.62,0.0222,283
161,2025-07-11,94.52,235.0,220.0,225,94.52,-,10223
162,2025-07-10,94.52,230.0,210.0,225,94.52,-0.0217,537
163,2025-07-09,96.62,230.0,230.0,230,96.62,-,445
164,2025-07-08,96.62,230.0,230.0,230,96.62,-,10
165,2025-07-04,96.62,230.0,230.0,230,96.62,-,1096
166,2025-07-03,96.62,230.0,230.0,230,96.62,-0.0213,3277
167,2025-07-02,98.72,240.0,230.0,235,98.72,0.0217,6435
168,2025-07-01,96.62,240.0,230.0,230,96.62,-0.0417,1160
169,2025-06-30,100.83,240.0,240.0,240,100.82,-,610
170,2025-06-27,100.83,240.0,240.0,240,100.82,-,4297
171,2025-06-26,100.83,240.0,240.0,240,100.82,-,100
172,2025-06-25,100.83,240.0,240.0,240,100.82,-0.04,950
173,2025-06-24,105.03,250.0,250.0,250,105.03,-,10
174,2025-06-23,105.03,250.0,240.0,250,105.03,-,622
175,2025-06-20,105.03,250.0,250.0,250,105.03,-,2100
176,2025-06-19,105.03,275.0,250.0,250,105.03,-0.0909,1050
177,2025-06-18,115.53,275.0,275.0,275,115.53,-,750
178,2025-06-17,115.53,280.0,270.0,275,115.53,-,1152
179,2025-06-16,115.53,280.0,270.0,275,115.53,-0.0179,572
180,2025-06-13,117.63,280.0,280.0,280,117.63,-,2030
181,2025-06-12,117.63,280.0,280.0,280,117.63,-,110
182,2025-06-11,117.63,280.0,280.0,280,117.63,-,1346
183,2025-06-10,117.63,280.0,280.0,280,117.63,-,231
184,2025-06-09,117.63,280.0,280.0,280,117.63,-,60
185,2025-06-06,117.63,280.0,280.0,280,117.63,-,460
186,2025-06-05,117.63,280.0,280.0,280,117.63,-,617
187,2025-06-04,117.63,285.0,280.0,280,117.63,-0.0175,320
188,2025-06-03,119.73,285.0,285.0,285,119.73,-,707
189,2025-06-02,119.73,285.0,280.0,285,119.73,-0.0172,1410
190,2025-05-30,121.83,290.0,290.0,290,121.83,-,390
191,2025-05-29,121.83,290.0,285.0,290,121.83,-,110
192,2025-05-28,121.83,290.0,290.0,290,121.83,-,2520
193,2025-05-27,121.83,290.0,290.0,290,121.83,-0.0645,1980
194,2025-05-26,130.23,310.0,310.0,310,130.23,-,30
195,2025-05-23,130.23,310.0,310.0,310,130.23,-,170
196,2025-05-22,130.23,310.0,310.0,310,130.23,-,570
197,2025-05-21,130.23,310.0,310.0,310,130.23,-,100
198,2025-05-20,130.23,310.0,310.0,310,130.23,-,20
199,2025-05-19,130.23,310.0,310.0,310,130.23,-,100
200,2025-05-16,130.23,310.0,310.0,310,130.23,-,20
201,2025-05-15,130.23,310.0,310.0,310,130.23,-,210
202,2025-05-14,130.23,310.0,310.0,310,130.23,-,10
203,2025-05-13,130.23,310.0,310.0,310,130.23,-,50
204,2025-05-09,130.23,310.0,310.0,310,130.23,-,120
205,2025-05-08,130.23,310.0,310.0,310,130.23,-,60
206,2025-05-07,130.23,310.0,310.0,310,130.23,-,50
207,2025-05-06,130.23,310.0,310.0,310,130.23,-,40
208,2025-05-05,130.23,310.0,310.0,310,130.23,-,70
209,2025-05-02,130.23,310.0,300.0,310,130.23,-,302
210,2025-04-30,130.23,310.0,310.0,310,130.23,-,60
211,2025-04-29,130.23,310.0,310.0,310,130.23,-,50
212,2025-04-28,130.23,310.0,310.0,310,130.23,-,70
213,2025-04-25,130.23,310.0,310.0,310,130.23,-,1020
214,2025-04-24,130.23,310.0,310.0,310,130.23,-,50
215,2025-04-22,130.23,310.0,310.0,310,130.23,-,330
216,2025-04-17,130.23,310.0,310.0,310,130.23,-,320
217,2025-04-16,130.23,310.0,310.0,310,130.23,-,100
218,2025-04-15,130.23,310.0,310.0,310,130.23,-,60
219,2025-04-14,130.23,310.0,310.0,310,130.23,-,40
220,2025-04-11,130.23,310.0,310.0,310,130.23,-,420
221,2025-04-10,130.23,310.0,310.0,310,130.23,-,1110
222,2025-04-09,130.23,310.0,310.0,310,130.23,-,10
223,2025-04-08,130.23,310.0,310.0,310,130.23,-,10
224,2025-04-04,130.23,310.0,310.0,310,130.23,-,90
225,2025-04-03,130.23,310.0,310.0,310,130.23,-,100
226,2025-04-02,130.23,310.0,310.0,310,130.23,-,29
227,2025-03-28,130.23,310.0,310.0,310,130.23,-,570
228,2025-03-27,130.23,310.0,310.0,310,130.23,-,30
229,2025-03-25,130.23,310.0,310.0,310,130.23,-,240
230,2025-03-24,130.23,310.0,300.0,310,130.23,-,10
231,2025-03-18,130.23,310.0,310.0,310,130.23,-,190
232,2025-03-17,130.23,310.0,310.0,310,130.23,-,10
233,2025-03-14,130.23,310.0,310.0,310,130.23,-,200
234,2025-03-05,130.23,310.0,310.0,310,130.23,-,60
235,2025-03-04,130.23,310.0,310.0,310,130.23,-,20
236,2025-03-03,130.23,310.0,310.0,310,130.23,-,486
237,2025-02-28,130.23,310.0,310.0,310,130.23,-,70
238,2025-02-27,130.23,310.0,310.0,310,130.23,-,120
239,2025-02-26,130.23,310.0,310.0,310,130.23,-,10
240,2025-02-25,130.23,310.0,310.0,310,130.23,-,910
241,2025-02-24,130.23,310.0,310.0,310,130.23,-,140
242,2025-02-20,130.23,310.0,310.0,310,130.23,-,110
243,2025-02-19,130.23,310.0,280.0,310,130.23,-,30
244,2025-02-18,130.23,310.0,310.0,310,130.23,-,10
245,2025-02-17,130.23,310.0,280.0,310,130.23,-,10
246,2025-02-14,130.23,310.0,280.0,310,130.23,-,10
247,2025-02-13,130.23,310.0,280.0,310,130.23,-,111
248,2025-02-12,130.23,310.0,310.0,310,130.23,-,10
249,2025-02-11,130.23,310.0,310.0,310,130.23,-,250
250,2025-02-10,130.23,310.0,310.0,310,130.23,-,70
251,2025-02-04,130.23,310.0,300.0,310,130.23,-,710
252,2025-02-03,130.23,310.0,300.0,310,130.23,-,376
253,2025-01-31,130.23,310.0,300.0,310,130.23,-,376
254,2025-01-30,130.23,310.0,300.0,310,130.23,-,880
255,2025-01-27,130.23,310.0,280.0,310,130.23,-,610
256,2025-01-20,130.23,310.0,310.0,310,130.23,-,170
257,2025-01-16,130.23,310.0,285.0,310,130.23,-,10
258,2025-01-15,130.23,310.0,285.0,310,130.23,-,70
259,2025-01-14,130.23,310.0,310.0,310,130.23,-,9
260,2025-01-13,130.23,310.0,285.0,310,130.23,-,270
261,2025-01-10,130.23,310.0,285.0,310,130.23,-,110
262,2025-01-09,130.23,310.0,285.0,310,130.23,-,130
263,2025-01-08,130.23,310.0,285.0,310,130.23,-,30
264,2025-01-07,130.23,310.0,310.0,310,130.23,-,70
265,2025-01-03,130.23,310.0,310.0,310,130.23,-,10
266,2025-01-02,130.23,310.0,310.0,310,130.23,-,560
267,2024-12-30,130.23,310.0,310.0,310,130.23,-,40
268,2024-12-27,130.23,310.0,310.0,310,130.23,-,160
269,2024-12-24,130.23,310.0,310.0,310,130.23,-,20
270,2024-12-19,130.23,310.0,310.0,310,130.23,-,40
271,2024-12-18,130.23,310.0,310.0,310,130.23,-,40
272,2024-12-17,130.23,310.0,310.0,310,130.23,-,280
273,2024-12-16,130.23,310.0,310.0,310,130.23,-,20
274,2024-12-13,130.23,310.0,310.0,310,130.23,-,10
275,2024-12-11,130.23,310.0,310.0,310,130.23,-,10
276,2024-12-10,130.23,310.0,310.0,310,130.23,-,10
277,2024-12-06,130.23,310.0,300.0,310,130.23,-,100
278,2024-12-04,130.23,310.0,310.0,310,130.23,-,20
279,2024-12-02,130.23,310.0,310.0,310,130.23,-,50
280,2024-11-26,130.23,310.0,310.0,310,130.23,-,10
281,2024-11-25,130.23,310.0,310.0,310,130.23,-,300
282,2024-11-22,130.23,310.0,310.0,310,130.23,-,900
283,2024-11-21,130.23,310.0,310.0,310,130.23,-,90
284,2024-11-20,130.23,310.0,305.0,310,130.23,-,50
285,2024-11-19,130.23,310.0,305.0,310,130.23,-,110
286,2024-11-18,130.23,310.0,310.0,310,130.23,-,30
287,2024-11-15,130.23,310.0,310.0,310,130.23,-,10
288,2024-11-12,130.23,310.0,300.0,310,130.23,-,30
289,2024-11-11,130.23,310.0,300.0,310,130.23,-,90
290,2024-11-04,130.23,310.0,310.0,310,130.23,-,100
291,2024-11-01,130.23,310.0,310.0,310,130.23,-,20
292,2024-10-29,130.23,310.0,310.0,310,130.23,-,59
293,2024-10-28,130.23,310.0,310.0,310,130.23,-,70
294,2024-10-25,130.23,310.0,310.0,310,130.23,-,30
295,2024-10-24,130.23,310.0,310.0,310,130.23,-,20
296,2024-10-21,130.23,310.0,310.0,310,130.23,-,200
297,2024-10-18,130.23,310.0,310.0,310,130.23,-,220
298,2024-10-17,130.23,310.0,310.0,310,130.23,-,20
299,2024-10-16,130.23,310.0,310.0,310,130.23,-,20
300,2024-10-15,130.23,310.0,310.0,310,130.23,-,30
301,2024-10-11,130.23,310.0,310.0,310,130.23,-,90
302,2024-10-10,130.23,310.0,310.0,310,130.23,-,10
303,2024-10-08,130.23,310.0,310.0,310,130.23,-,10
304,2024-10-07,130.23,310.0,310.0,310,130.23,-,120
305,2024-10-04,130.23,310.0,310.0,310,130.23,-,10
306,2024-10-03,130.23,310.0,310.0,310,130.23,-,20
307,2024-10-02,130.23,310.0,310.0,310,130.23,-,10
308,2024-10-01,130.23,310.0,310.0,310,130.23,-,20
309,2024-09-30,130.23,310.0,310.0,310,130.23,-,10
310,2024-09-27,130.23,310.0,310.0,310,130.23,-,20
311,2024-09-26,130.23,310.0,310.0,310,130.23,-,30
312,2024-09-19,130.23,310.0,310.0,310,130.23,-,20
313,2024-09-17,130.23,310.0,310.0,310,130.23,-,30
314,2024-09-13,130.23,310.0,310.0,310,130.23,-,10
315,2024-09-12,130.23,310.0,310.0,310,130.23,-,10
316,2024-09-11,130.23,320.0,310.0,310,130.23,-,20
317,2024-09-10,130.23,310.0,310.0,310,130.23,-,10
318,2024-09-09,130.23,310.0,310.0,310,130.23,-,10
319,2024-09-05,130.23,310.0,310.0,310,130.23,-,140
320,2024-09-04,130.23,310.0,310.0,310,130.23,-,6
321,2024-09-03,130.23,310.0,310.0,310,130.23,-,4
322,2024-08-26,130.23,320.0,310.0,310,130.23,-,420
323,2024-08-14,130.23,310.0,310.0,310,130.23,-,280
324,2024-08-13,130.23,310.0,310.0,310,130.23,-,100
325,2024-08-12,130.23,310.0,310.0,310,130.23,-,110
326,2024-08-07,130.23,310.0,310.0,310,130.23,-,10
327,2024-08-02,130.23,310.0,305.0,310,130.23,-,10
328,2024-08-01,130.23,310.0,300.0,310,130.23,-,10
329,2024-07-31,130.23,310.0,300.0,310,130.23,-,10
330,2024-07-30,130.23,310.0,310.0,310,130.23,-,10
331,2024-07-29,130.23,310.0,300.0,310,130.23,-,60
332,2024-07-22,130.23,310.0,310.0,310,130.23,-,10
333,2024-07-19,130.23,310.0,305.0,310,130.23,-,460
334,2024-07-18,130.23,310.0,310.0,310,130.23,-,10
335,2024-07-17,130.23,310.0,305.0,310,130.23,-,200
336,2024-07-15,130.23,310.0,310.0,310,130.23,-,70
337,2024-07-11,130.23,310.0,305.0,310,130.23,-,10
338,2024-07-10,130.23,310.0,305.0,310,130.23,-,520
339,2024-07-09,130.23,310.0,310.0,310,130.23,-,100
340,2024-07-02,130.23,310.0,310.0,310,130.23,-,30
341,2024-07-01,130.23,310.0,310.0,310,130.23,-,20
342,2024-06-28,130.23,310.0,305.0,310,130.23,-,20
343,2024-06-25,130.23,310.0,310.0,310,130.23,-,60
344,2024-06-21,130.23,310.0,310.0,310,130.23,-,20
345,2024-06-13,130.23,310.0,300.0,310,130.23,-,10
346,2024-06-12,130.23,310.0,310.0,310,130.23,-,10
347,2024-06-07,130.23,310.0,310.0,310,130.23,-,20
348,2024-06-06,130.23,310.0,310.0,310,130.23,-,20
349,2024-05-29,130.23,310.0,310.0,310,130.23,-,60
350,2024-05-27,130.23,310.0,310.0,310,130.23,-,30
351,2024-05-23,130.23,310.0,310.0,310,130.23,-,10
352,2024-05-17,130.23,310.0,310.0,310,130.23,-,30
353,2024-05-02,130.23,310.0,310.0,310,130.23,-,430
354,2024-04-29,130.23,310.0,310.0,310,130.23,-,16
355,2024-04-25,130.23,310.0,310.0,310,130.23,-,4
356,2024-04-22,130.23,310.0,310.0,310,130.23,-,680
357,2024-04-12,130.23,310.0,310.0,310,130.23,-,3956
358,2024-04-04,130.23,310.0,310.0,310,130.23,-,500
359,2024-03-28,130.23,310.0,300.0,310,130.23,-,20
360,2024-03-26,130.23,310.0,310.0,310,130.23,-,30
361,2024-03-25,130.23,310.0,310.0,310,130.23,-,20
362,2024-03-22,130.23,310.0,310.0,310,130.23,-,20
363,2024-03-04,130.23,310.0,310.0,310,130.23,-,50
364,2024-02-21,130.23,310.0,310.0,310,130.23,-,10
365,2024-02-20,130.23,310.0,310.0,310,130.23,-,10
366,2024-01-31,130.23,310.0,300.0,310,130.23,-,10
367,2024-01-30,130.23,310.0,300.0,310,130.23,-,10
368,2024-01-22,130.23,310.0,310.0,310,130.23,-,30
369,2024-01-02,130.23,310.0,310.0,310,130.23,-,10
370,2023-12-11,130.23,310.0,310.0,310,130.23,-,30
371,2023-12-06,130.23,310.0,310.0,310,130.23,-,10
372,2023-12-01,130.23,310.0,310.0,310,130.23,-,20
373,2023-11-27,130.23,310.0,310.0,310,130.23,-,10
374,2023-11-14,130.23,310.0,310.0,310,130.23,-,10
375,2023-10-23,130.23,310.0,310.0,310,130.23,-0.0313,2100
376,2023-08-09,134.43,320.0,320.0,320,134.43,-,10
377,2023-07-19,134.43,320.0,320.0,320,134.43,-,200
378,2023-05-30,134.43,320.0,320.0,320,134.43,-,10
379,2023-05-15,134.43,320.0,320.0,320,134.43,-,10
380,2023-05-02,134.43,320.0,320.0,320,134.43,-,10
381,2023-04-27,134.43,320.0,320.0,320,134.43,-,60
382,2023-03-21,134.43,320.0,320.0,320,134.43,-,10
383,2023-03-16,134.43,320.0,320.0,320,134.43,-,20
384,2023-01-31,134.43,320.0,320.0,320,134.43,-,1000
385,2022-10-10,134.43,320.0,320.0,320,134.43,-,100
386,2022-09-23,134.43,320.0,320.0,320,134.43,-,1118
387,2022-09-22,134.43,320.0,320.0,320,134.43,-0.0154,19640
388,2022-09-20,136.53,325.0,325.0,325,136.53,-,1820
389,2022-09-19,136.53,325.0,325.0,325,136.53,-,640
390,2022-09-13,136.53,325.0,325.0,325,136.53,-0.0972,2460
391,2022-09-12,151.24,360.0,360.0,360,151.24,-,10
392,2022-09-09,151.24,360.0,360.0,360,151.24,-0.0886,25574
393,2022-06-23,165.94,395.0,395.0,395,165.94,-,100
394,2022-06-17,165.94,395.0,395.0,395,165.94,-,30
395,2022-06-16,165.94,395.0,395.0,395,165.94,-,10
396,2022-03-29,165.94,395.0,395.0,395,165.94,-0.0247,11000
397,2022-03-21,170.14,405.0,405.0,405,170.14,-0.1,12500
398,2022-03-18,189.05,450.0,450.0,450,189.05,-0.1,8000
399,2021-12-23,210.05,500.0,500.0,500,210.05,-,10
400,2021-12-08,210.05,500.0,500.0,500,210.05,-,450
