,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,4820.0,4970,4600,4820,4820.0,0.0234,4460
1,2026-03-17,4710.0,4970,4600,4710,4710.0,-0.0466,14048
2,2026-03-16,4940.0,4970,4800,4940,4940.0,-0.012,2363
3,2026-03-13,5000.0,5000,4950,5000,5000.0,-,7862
4,2026-03-12,5000.0,5000,4950,5000,5000.0,-,6220
5,2026-03-11,5000.0,5000,4950,5000,5000.0,0.004,2949
6,2026-03-10,4980.0,5000,4800,4980,4980.0,0.0122,7557
7,2026-03-09,4920.0,5000,4550,4920,4920.0,0.1056,2643
8,2026-03-06,4450.0,5000,4140,4450,4450.0,-0.0305,5347
9,2026-03-05,4590.0,5000,4420,4590,4590.0,-0.0783,882
10,2026-03-04,4980.0,5080,4500,4980,4980.0,-0.0178,3160
11,2026-03-03,5070.0,5100,4540,5070,5070.0,-0.0059,4204
12,2026-03-02,5100.0,5290,5020,5100,5100.0,-0.0449,7423
13,2026-02-27,5340.0,5500,5080,5340,5340.0,0.0038,6274
14,2026-02-26,5320.0,5600,5020,5320,5320.0,0.0879,6396
15,2026-02-23,4890.0,5080,4800,4890,4890.0,-0.0081,2736
16,2026-02-20,4930.0,5080,4800,4930,4930.0,-0.0446,4180
17,2026-02-19,5160.0,5300,4900,5160,5160.0,0.0157,5078
18,2026-02-18,5080.0,5340,4650,5080,5080.0,0.0496,8125
19,2026-02-17,4840.0,5000,4600,4840,4840.0,-0.062,9189
20,2026-02-16,5160.0,5500,4910,5160,5160.0,-0.0282,8989
21,2026-02-13,5310.0,5400,4910,5310,5310.0,-0.0038,13462
22,2026-02-12,5330.0,5500,4910,5330,5330.0,0.0967,24484
23,2026-02-11,4860.0,4910,4500,4860,4860.0,0.1382,6665
24,2026-02-10,4270.0,4400,4250,4270,4270.0,0.0047,17993
25,2026-02-09,4250.0,4250,4200,4250,4250.0,0.1486,7908
26,2026-02-06,3700.0,4240,3660,3700,3700.0,0.0027,34394
27,2026-02-05,3690.0,3700,3600,3690,3690.0,0.025,52655
28,2026-02-04,3600.0,3700,3500,3600,3600.0,0.0435,13564
29,2026-02-03,3450.0,3700,3210,3450,3450.0,-0.047,23738
30,2026-02-02,3620.0,3700,3200,3620,3620.0,-0.0243,13861
31,2026-01-30,3710.0,3800,3490,3710,3710.0,-,4778
32,2026-01-29,3710.0,3900,3400,3710,3710.0,-0.0608,3528
33,2026-01-28,3950.0,4100,3850,3950,3950.0,-0.0573,3040
34,2026-01-27,4190.0,4700,3900,4190,4190.0,-0.1501,5471
35,2026-01-26,4930.0,5000,4300,4930,4930.0,-,2514
36,2026-01-23,4930.0,5000,4300,4930,4930.0,-0.016,2514
37,2026-01-22,5010.0,5300,4300,5010,5010.0,0.002,4376
38,2026-01-21,5000.0,5380,4800,5000,5000.0,-0.0706,5358
39,2026-01-20,5380.0,5450,4800,5380,5380.0,-0.0218,6817
40,2026-01-19,5500.0,5500,5400,5500,5500.0,-,13681
41,2026-01-16,5500.0,5500,5400,5500,5500.0,0.0073,6490
42,2026-01-15,5460.0,5500,5300,5460,5460.0,0.013,10127
43,2026-01-14,5390.0,5500,5250,5390,5390.0,0.0247,10951
44,2026-01-13,5260.0,5620,4900,5260,5260.0,0.0757,129906
45,2026-01-09,4890.0,5000,4600,4890,4890.0,0.1139,23622
46,2026-01-08,4390.0,4600,4000,4390,4390.0,0.0975,118503
47,2026-01-07,4000.0,4000,3700,4000,4000.0,0.1429,4217
48,2026-01-06,3500.0,3600,3200,3500,3500.0,0.1076,4852
49,2026-01-05,3160.0,3200,3100,3160,3160.0,0.0395,8472
50,2026-01-02,3040.0,3100,2730,3040,3040.0,0.1218,1523
51,2025-12-31,2710.0,2730,2510,2710,2710.0,0.1387,1241
52,2025-12-30,2380.0,2750,2350,2380,2380.0,-0.0124,1770
53,2025-12-29,2410.0,2450,2290,2410,2410.0,0.0084,7571
54,2025-12-24,2390.0,2410,2390,2390,2390.0,0.0302,3315
55,2025-12-23,2320.0,2390,2200,2320,2320.0,-0.0252,4495
56,2025-12-22,2380.0,2390,2310,2380,2380.0,-0.0083,1087
57,2025-12-19,2400.0,2400,2390,2400,2400.0,0.0042,3607
58,2025-12-18,2390.0,2400,2310,2390,2390.0,0.0346,1240
59,2025-12-17,2310.0,2400,2300,2310,2310.0,0.0087,1648
60,2025-12-16,2290.0,2300,2200,2290,2290.0,0.0362,1739
61,2025-12-15,2210.0,2300,2050,2210,2210.0,0.0091,2435
62,2025-12-12,2190.0,2300,2100,2190,2190.0,0.0478,1430
63,2025-12-11,2090.0,2300,2090,2090,2090.0,-0.05,2689
64,2025-12-10,2200.0,2300,2100,2200,2200.0,-0.0435,2928
65,2025-12-08,2300.0,2300,2150,2300,2300.0,0.0698,899
66,2025-12-05,2150.0,2300,2000,2150,2150.0,-,6463
67,2025-12-04,2150.0,2300,2100,2150,2150.0,0.0047,6448
68,2025-12-03,2140.0,2300,2100,2140,2140.0,-0.0696,1464
69,2025-12-02,2300.0,2400,2300,2300,2300.0,-,1475
70,2025-12-01,2300.0,2300,2100,2300,2300.0,0.15,872
71,2025-11-28,2000.0,2300,2000,2000,2000.0,-,189
72,2025-11-27,2000.0,2390,2000,2000,2000.0,-0.0431,8486
73,2025-11-26,2090.0,2390,2000,2090,2090.0,-0.0952,3402
74,2025-11-25,2310.0,2360,2270,2310,2310.0,-0.0086,510
75,2025-11-24,2330.0,2400,2200,2330,2330.0,0.013,1461
76,2025-11-21,2300.0,2300,2270,2300,2300.0,-,1135
77,2025-11-20,2300.0,2400,2300,2300,2300.0,0.0132,820
78,2025-11-19,2270.0,2270,2270,2270,2270.0,-,190
