,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,900,1000,890,900,900,-0.0955,4094
1,2026-03-17,995,1000,930,995,995,0.0102,985
2,2026-03-16,985,1000,930,985,985,0.0155,1488
3,2026-03-13,970,1000,930,970,970,-0.1101,8281
4,2026-03-12,1090,1100,1000,1090,1090,-0.018,3926
5,2026-03-11,1110,1170,1100,1110,1110,-0.0263,2778
6,2026-03-10,1140,1180,1090,1140,1140,-0.0339,2827
7,2026-03-09,1180,1180,1170,1180,1180,0.0085,4195
8,2026-03-06,1170,1200,1080,1170,1170,-0.0085,22413
9,2026-03-05,1180,1180,1080,1180,1180,0.0926,633
10,2026-03-04,1080,1080,1080,1080,1080,0.102,163
11,2026-03-03,980,980,980,980,980,0.1462,253
12,2026-03-02,855,855,840,855,855,-,118
13,2026-02-27,855,940,855,855,855,-,71
14,2026-02-26,855,860,850,855,855,0.0059,1106
15,2026-02-23,850,850,850,850,850,-,12494
16,2026-02-20,850,850,840,850,850,0.0303,5957
17,2026-02-19,825,850,820,825,825,0.0061,10035
18,2026-02-18,820,820,820,820,820,0.0861,308
19,2026-02-17,755,820,755,755,755,-,330
20,2026-02-16,755,755,755,755,755,0.0272,254
21,2026-02-13,735,755,675,735,735,0.1136,1043
22,2026-02-12,660,750,630,660,660,-0.0075,2900
23,2026-02-11,665,665,630,665,665,-,518
24,2026-02-10,665,665,630,665,665,-,1802
25,2026-02-09,665,665,620,665,665,-0.0292,1721
26,2026-02-06,685,700,615,685,685,-0.0214,1069
27,2026-02-05,700,700,695,700,700,-,1237
28,2026-02-04,700,700,600,700,700,0.1382,923
29,2026-02-03,615,770,590,615,615,-0.0956,2383
30,2026-02-02,680,700,640,680,680,0.0794,452
31,2026-01-30,630,630,630,630,630,-,1276
32,2026-01-29,630,630,620,630,630,0.1455,849
33,2026-01-28,550,550,540,550,550,-,165
34,2026-01-27,550,550,550,550,550,0.0185,161
35,2026-01-26,540,550,500,540,540,-,889
