,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,3660.0,3690,3510,3660,3660.0,-0.0027,20518
1,2026-03-17,3670.0,3750,3510,3670,3670.0,-0.0027,70669
2,2026-03-16,3680.0,3700,3510,3680,3680.0,-0.0054,14559
3,2026-03-13,3700.0,3740,3600,3700,3700.0,0.0027,30856
4,2026-03-12,3690.0,3700,3500,3690,3690.0,-0.016,21994
5,2026-03-11,3750.0,3800,3710,3750,3750.0,-,23551
6,2026-03-10,3750.0,3800,3700,3750,3750.0,0.0302,28454
7,2026-03-09,3640.0,3750,3500,3640,3640.0,0.052,26375
8,2026-03-06,3460.0,3750,3100,3460,3460.0,-0.0468,21705
9,2026-03-05,3630.0,3790,3400,3630,3630.0,-0.0497,13251
10,2026-03-04,3820.0,4000,3600,3820,3820.0,-0.0155,14988
11,2026-03-03,3880.0,4000,3800,3880,3880.0,-0.0227,42862
12,2026-03-02,3970.0,4150,3840,3970,3970.0,0.0312,33132
13,2026-02-27,3850.0,4100,3600,3850,3850.0,0.0158,27491
14,2026-02-26,3790.0,3840,3750,3790,3790.0,-,22597
15,2026-02-23,3790.0,3800,3750,3790,3790.0,0.0107,15627
16,2026-02-20,3750.0,3800,3640,3750,3750.0,-0.0209,14583
17,2026-02-19,3830.0,3920,3700,3830,3830.0,-,30745
18,2026-02-18,3830.0,3920,3750,3830,3830.0,0.0241,23277
19,2026-02-17,3740.0,3900,3600,3740,3740.0,0.0054,38588
20,2026-02-16,3720.0,3900,3530,3720,3720.0,-0.0133,10388
21,2026-02-13,3770.0,3900,3600,3770,3770.0,0.071,20555
22,2026-02-12,3520.0,3650,3480,3520,3520.0,0.0115,22319
23,2026-02-11,3480.0,3500,3390,3480,3480.0,0.0058,28745
24,2026-02-10,3460.0,3500,3300,3460,3460.0,-0.0198,10762
25,2026-02-09,3530.0,3650,3450,3530,3530.0,-0.0302,13742
26,2026-02-06,3640.0,4000,3500,3640,3640.0,0.043,23587
27,2026-02-05,3490.0,3640,3350,3490,3490.0,0.1009,38670
28,2026-02-04,3170.0,3350,3000,3170,3170.0,0.0856,12000
29,2026-02-03,2920.0,3150,2850,2920,2920.0,-0.0234,42964
30,2026-02-02,2990.0,3150,2790,2990,2990.0,-,68625
31,2026-01-30,2990.0,3100,2700,2990,2990.0,0.1074,34949
32,2026-01-29,2700.0,3000,2550,2700,2700.0,-0.1,16295
33,2026-01-28,3000.0,3100,2800,3000,3000.0,-0.0769,23576
34,2026-01-27,3250.0,3500,3100,3250,3250.0,-0.1402,40575
35,2026-01-26,3780.0,4000,3630,3780,3780.0,-,37569
36,2026-01-23,3780.0,4000,3630,3780,3780.0,0.0385,37569
37,2026-01-22,3640.0,3660,3500,3640,3640.0,0.0028,46634
38,2026-01-21,3630.0,3660,3450,3630,3630.0,0.1379,30976
39,2026-01-20,3190.0,3450,3100,3190,3190.0,0.0493,37813
40,2026-01-19,3040.0,3250,2900,3040,3040.0,0.0167,116191
41,2026-01-16,2990.0,3000,2900,2990,2990.0,-,41296
42,2026-01-15,2990.0,3100,2980,2990,2990.0,-0.0132,58982
43,2026-01-14,3030.0,3150,2900,3030,3030.0,0.0271,88452
44,2026-01-13,2950.0,3160,2760,2950,2950.0,0.0727,80580
45,2026-01-09,2750.0,2780,2600,2750,2750.0,0.07,52966
46,2026-01-08,2570.0,2700,2400,2570,2570.0,0.0708,55382
47,2026-01-07,2400.0,2500,2200,2400,2400.0,0.0959,23737
48,2026-01-06,2190.0,2250,2100,2190,2190.0,0.1173,36221
49,2026-01-05,1960.0,2100,1870,1960,1960.0,0.037,80120
50,2026-01-02,1890.0,1990,1850,1890,1890.0,0.0053,42713
51,2025-12-31,1880.0,1990,1820,1880,1880.0,0.0053,63991
52,2025-12-30,1870.0,1900,1850,1870,1870.0,0.0331,30016
53,2025-12-29,1810.0,1870,1770,1810,1810.0,0.0056,35849
54,2025-12-24,1800.0,1840,1790,1800,1800.0,0.0112,25109
55,2025-12-23,1780.0,1800,1700,1780,1780.0,-,13071
56,2025-12-22,1780.0,1800,1730,1780,1780.0,-0.0111,12921
57,2025-12-19,1800.0,1850,1760,1800,1800.0,-0.0374,14888
58,2025-12-18,1870.0,1980,1760,1870,1870.0,-0.0158,31241
59,2025-12-17,1900.0,1980,1750,1900,1900.0,0.0983,18199
60,2025-12-16,1724.0,1750,1600,1730,1724.0,0.1234,8400
61,2025-12-15,1534.66,1700,1470,1540,1534.66,0.0132,27229
62,2025-12-12,1514.73,1550,1470,1520,1514.73,0.0411,15029
63,2025-12-11,1454.94,1550,1400,1460,1454.94,0.058,12601
64,2025-12-10,1375.21,1500,1320,1380,1375.21,-0.0072,277910
65,2025-12-08,1385.18,1390,1370,1390,1385.18,-,16456
66,2025-12-05,1385.18,1390,1380,1390,1385.18,0.0072,15713
67,2025-12-04,1375.21,1390,1360,1380,1375.21,0.0455,14759
68,2025-12-03,1315.42,1380,1250,1320,1315.42,-0.0149,8731
69,2025-12-02,1335.35,1360,1300,1340,1335.35,-0.029,6145
70,2025-12-01,1375.21,1400,1350,1380,1375.21,0.0222,6376
71,2025-11-28,1345.32,1390,1330,1350,1345.32,0.0075,4375
72,2025-11-27,1335.35,1370,1310,1340,1335.35,0.0229,4735
73,2025-11-26,1305.46,1380,1250,1310,1305.46,-0.0296,6557
74,2025-11-25,1345.32,1380,1300,1350,1345.32,-,13742
75,2025-11-24,1345.32,1390,1300,1350,1345.32,-0.0288,24543
76,2025-11-21,1385.18,1390,1360,1390,1385.18,0.0146,14188
77,2025-11-20,1365.25,1390,1350,1370,1365.25,-,6029
78,2025-11-19,1365.25,1390,1350,1370,1365.25,-0.0144,5201
79,2025-11-18,1385.18,1400,1380,1390,1385.18,-,4324
80,2025-11-17,1385.18,1400,1380,1390,1385.18,0.0072,4196
81,2025-11-14,1375.21,1400,1350,1380,1375.21,-0.0143,16838
82,2025-11-13,1395.15,1400,1370,1400,1395.14,0.0072,114612
83,2025-11-12,1385.18,1400,1380,1390,1385.18,0.0146,4208
84,2025-11-11,1365.25,1400,1300,1370,1365.25,-0.0214,3905
85,2025-11-10,1395.15,1440,1350,1400,1395.14,-,169561
86,2025-11-07,1395.15,1420,1350,1400,1395.14,-,171168
87,2025-11-06,1395.15,1400,1350,1400,1395.14,-,26666
88,2025-11-05,1395.15,1400,1390,1400,1395.14,-,7642
89,2025-11-04,1395.15,1400,1380,1400,1395.14,-,46171
90,2025-10-30,1395.15,1400,1400,1400,1395.14,-,3652
91,2025-10-28,1395.15,1440,1390,1400,1395.14,-,35266
92,2025-10-27,1395.15,1400,1390,1400,1395.14,-,42525
93,2025-10-24,1395.15,1400,1390,1400,1395.14,-,62183
94,2025-10-23,1395.15,1400,1380,1400,1395.14,-,67448
95,2025-10-22,1395.15,1400,1390,1400,1395.14,0.0072,65382
96,2025-10-21,1385.18,1460,1350,1390,1385.18,-0.0071,43149
97,2025-10-20,1395.15,1460,1370,1400,1395.14,0.0072,87599
98,2025-10-17,1385.18,1400,1380,1390,1385.18,-0.0071,10064
99,2025-10-16,1395.15,1400,1390,1400,1395.14,0.0072,13720
100,2025-10-15,1385.18,1400,1350,1390,1385.18,-0.0211,11919
101,2025-10-13,1415.08,1480,1350,1420,1415.08,-0.0405,16130
102,2025-10-10,1474.87,1500,1400,1480,1474.87,-0.0133,22652
103,2025-10-09,1494.8,1500,1450,1500,1494.8,0.0204,23091
104,2025-10-08,1464.9,1500,1450,1470,1464.9,0.0138,10297
105,2025-10-07,1444.97,1500,1390,1450,1444.97,0.0741,10182
106,2025-10-06,1345.32,1500,1250,1350,1345.32,-0.0074,23971
107,2025-10-03,1355.28,1390,1320,1360,1355.28,0.0149,49657
108,2025-10-02,1335.35,1360,1320,1340,1335.35,-0.029,11921
109,2025-10-01,1375.21,1500,1320,1380,1375.21,-0.035,8235
110,2025-09-30,1425.04,1500,1400,1430,1425.04,0.0916,1678
111,2025-09-29,1305.46,1510,1250,1310,1305.46,-0.0076,13966
112,2025-09-26,1315.42,1400,1250,1320,1315.42,-0.0294,10577
113,2025-09-25,1355.28,1400,1320,1360,1355.28,-0.0073,9794
114,2025-09-24,1365.25,1400,1250,1370,1365.25,-0.0144,22547
115,2025-09-23,1385.18,1480,1320,1390,1385.18,0.0146,3243
116,2025-09-22,1365.25,1500,1320,1370,1365.25,-0.042,31111
117,2025-09-19,1355.28,1500,1380,1430,1355.28,-0.0138,18045
118,2025-09-18,1374.24,1500,1380,1450,1374.24,0.0211,4384
119,2025-09-17,1345.81,1500,1320,1420,1345.81,-,11766
120,2025-09-16,1345.81,1500,1350,1420,1345.81,-0.034,12794
121,2025-09-15,1393.19,1500,1450,1470,1393.19,-,8752
122,2025-09-12,1393.19,1500,1450,1470,1393.19,-0.0516,5043
123,2025-09-11,1469.01,1560,1480,1550,1469.01,0.0839,4423
124,2025-09-10,1355.28,1500,1380,1430,1355.28,-0.0338,3960
125,2025-09-09,1402.67,1660,1400,1480,1402.67,-0.075,6387
126,2025-09-08,1516.4,1760,1500,1600,1516.4,-0.0476,11890
127,2025-09-04,1592.22,1760,1500,1680,1592.22,-0.0175,6102
128,2025-09-03,1620.65,1850,1600,1710,1620.65,-0.0116,4848
129,2025-09-02,1639.61,1900,1620,1730,1639.61,-0.017,5992
130,2025-09-01,1668.04,1950,1650,1760,1668.04,-0.0486,7454
131,2025-08-29,1753.34,1950,1630,1850,1753.34,-0.0314,8209
132,2025-08-28,1810.2,2000,1790,1910,1810.2,0.067,12701
133,2025-08-27,1696.47,1840,1610,1790,1696.47,0.1188,4875
134,2025-08-26,1516.4,1610,1510,1600,1516.4,0.1429,5113
135,2025-08-25,1326.85,1510,1250,1400,1326.85,0.0606,29841
136,2025-08-22,1251.03,1400,1320,1320,1251.03,-0.0959,3925
137,2025-08-21,1383.72,1600,1460,1460,1383.72,-0.1098,3428
138,2025-08-20,1554.31,1640,1600,1640,1554.31,-0.0734,2919
139,2025-08-19,1677.52,1900,1770,1770,1677.52,-0.0781,3606
140,2025-08-18,1819.68,1940,1920,1920,1819.68,-0.0204,12273
141,2025-08-15,1857.59,2100,1940,1960,1857.59,-0.1404,14481
142,2025-08-14,2160.87,2380,2100,2280,2160.87,-0.0215,36686
143,2025-08-13,2208.26,2380,2200,2330,2208.26,-0.021,27310
144,2025-08-12,2255.65,2400,2200,2380,2255.65,-0.0042,31597
145,2025-08-11,2265.12,2400,2120,2390,2265.12,0.1435,39460
146,2025-08-07,1980.8,2120,2000,2090,1980.8,0.1297,15202
