,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,570,640,555,570,570,-0.1231,17418
1,2026-03-17,650,690,640,650,650,-0.1275,4202
2,2026-03-16,745,750,720,745,745,-0.1183,13045
3,2026-03-13,845,890,750,845,845,-0.0398,79791
4,2026-03-12,880,885,775,880,880,0.1429,40470
5,2026-03-11,770,775,700,770,770,0.1407,28884
6,2026-03-10,675,690,600,675,675,0.125,38085
7,2026-03-09,600,640,580,600,600,0.0714,37646
8,2026-03-06,560,580,520,560,560,0.1089,31838
9,2026-03-05,505,515,500,505,505,0.1222,44709
10,2026-03-04,450,460,400,450,450,0.125,33550
11,2026-03-03,400,400,375,400,400,0.1268,14255
12,2026-03-02,355,375,320,355,355,0.0758,25472
13,2026-02-27,330,360,300,330,330,0.0476,16457
14,2026-02-26,315,350,300,315,315,0.0161,7030
15,2026-02-23,310,320,300,310,310,-0.0159,13308
16,2026-02-20,315,330,300,315,315,-,4939
17,2026-02-19,315,340,295,315,315,-0.0735,12426
18,2026-02-18,340,350,310,340,340,0.0968,7632
19,2026-02-17,310,350,295,310,310,-0.1014,19200
20,2026-02-16,345,350,290,345,345,0.0952,2430
21,2026-02-13,315,350,290,315,315,0.0328,14185
22,2026-02-12,305,350,300,305,305,-0.0615,8192
23,2026-02-11,325,350,305,325,325,-0.0299,5995
24,2026-02-10,335,350,305,335,335,-0.0147,5305
25,2026-02-09,340,350,305,340,340,0.0794,6645
26,2026-02-06,315,330,300,315,315,0.0328,3648
27,2026-02-05,305,315,280,305,305,-0.0469,9820
28,2026-02-04,320,330,310,320,320,-0.0725,8143
29,2026-02-03,345,365,320,345,345,-0.0417,2783
30,2026-02-02,360,365,320,360,360,-,4203
31,2026-01-30,360,365,345,360,360,-0.027,5896
32,2026-01-29,370,370,340,370,370,0.0137,8875
33,2026-01-28,365,370,350,365,365,0.0429,7531
34,2026-01-27,350,365,330,350,350,0.0769,31027
35,2026-01-26,325,330,320,325,325,-,10204
36,2026-01-23,325,330,320,325,325,0.0833,10204
37,2026-01-22,300,325,280,300,300,-,9976
38,2026-01-21,300,305,280,300,300,-0.0164,25390
39,2026-01-20,305,310,280,305,305,0.0167,10919
40,2026-01-19,300,305,280,300,300,0.0714,11250
41,2026-01-16,280,280,260,280,280,0.12,458
42,2026-01-15,250,260,240,250,250,-0.0196,4139
43,2026-01-14,255,260,230,255,255,-0.0556,10719
44,2026-01-13,270,290,255,270,270,-0.0847,7714
45,2026-01-09,295,300,280,295,295,0.0172,13436
46,2026-01-08,290,295,280,290,290,-0.0169,1290
47,2026-01-07,295,300,280,295,295,-0.0167,1302
48,2026-01-06,300,300,280,300,300,-,5224
49,2026-01-05,300,310,285,300,300,0.0169,6258
