,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,9500.0,9500.0,9460.0,9500,9500.0,-,7930
1,2026-03-17,9500.0,9690.0,9450.0,9500,9500.0,-0.0104,10245
2,2026-03-16,9600.0,9700.0,9460.0,9600,9600.0,-0.0052,10741
3,2026-03-13,9650.0,9690.0,9550.0,9650,9650.0,-0.0041,113264
4,2026-03-12,9690.0,9700.0,9600.0,9690,9690.0,-0.0031,2593
5,2026-03-11,9720.0,9750.0,9600.0,9720,9720.0,0.001,3406
6,2026-03-10,9710.0,9750.0,9600.0,9710,9710.0,-0.0041,7302
7,2026-03-09,9750.0,9780.0,9600.0,9750,9750.0,-,5541
8,2026-03-06,9750.0,9800.0,9570.0,9750,9750.0,-0.001,6436
9,2026-03-05,9760.0,9800.0,9700.0,9760,9760.0,-0.0061,1433
10,2026-03-04,9820.0,9950.0,9800.0,9820,9820.0,-0.0141,256637
11,2026-03-03,9960.0,9990.0,9930.0,9960,9960.0,-0.003,4583
12,2026-03-02,9990.0,10100.0,9930.0,9990,9990.0,-0.0138,5999
13,2026-02-27,10130.0,10190.0,9990.0,10130,10130.0,-0.0059,3818
14,2026-02-26,10190.0,10290.0,10050.0,10190,10190.0,-0.0039,27364
15,2026-02-23,10230.0,10290.0,10100.0,10230,10230.0,-0.0039,3312
16,2026-02-20,10270.0,10310.0,10200.0,10270,10270.0,-0.0029,3187
17,2026-02-19,10300.0,10310.0,10200.0,10300,10300.0,-0.001,483814
18,2026-02-18,10310.0,10310.0,10240.0,10310,10310.0,0.0068,4322
19,2026-02-17,10240.0,10310.0,10200.0,10240,10240.0,-0.0135,491649
20,2026-02-16,10380.0,10400.0,10310.0,10380,10380.0,-0.0067,1767
21,2026-02-13,10450.0,10500.0,10340.0,10450,10450.0,0.0029,1172824
22,2026-02-12,10420.0,10470.0,10330.0,10420,10420.0,-0.0076,55452
23,2026-02-11,10500.0,10500.0,10470.0,10500,10500.0,0.0029,157749
24,2026-02-10,10470.0,10500.0,10330.0,10470,10470.0,0.0136,6259
25,2026-02-09,10330.0,10330.0,10160.0,10330,10330.0,0.0197,1646
26,2026-02-06,10130.0,10160.0,9910.0,10130,10130.0,0.016,403649
27,2026-02-05,9970.0,10050.0,9730.0,9970,9970.0,0.0112,2424
28,2026-02-04,9860.0,9900.0,9750.0,9860,9860.0,0.0134,2376
29,2026-02-03,9730.0,9730.0,9700.0,9730,9730.0,-,659
30,2026-02-02,9730.0,9730.0,9550.0,9730,9730.0,0.0093,4133
31,2026-01-30,9640.0,9700.0,9550.0,9640,9640.0,0.0094,4547
32,2026-01-29,9550.0,9700.0,9490.0,9550,9550.0,0.001,111542
33,2026-01-28,9540.0,9540.0,9530.0,9540,9540.0,-,21531
34,2026-01-27,9540.0,9540.0,9500.0,9540,9540.0,-,3484
35,2026-01-26,9540.0,9620.0,9500.0,9540,9540.0,-,3981
36,2026-01-23,9540.0,9620.0,9500.0,9540,9540.0,-0.0063,3981
37,2026-01-22,9600.0,9620.0,9540.0,9600,9600.0,0.0063,2433
38,2026-01-21,9540.0,9620.0,9450.0,9540,9540.0,-0.0063,4758
39,2026-01-20,9600.0,9600.0,9560.0,9600,9600.0,-,8416
40,2026-01-19,9600.0,9810.0,9550.0,9600,9600.0,-0.0021,148105
41,2026-01-16,9620.0,9620.0,9440.0,9620,9620.0,0.0191,6478
42,2026-01-15,9440.0,9440.0,9270.0,9440,9440.0,0.0194,11990
43,2026-01-14,9260.0,9270.0,9250.0,9260,9260.0,0.0187,7216
44,2026-01-13,9090.0,9150.0,9080.0,9090,9090.0,0.01,709
45,2026-01-09,9000.0,9000.0,8910.0,9000,9000.0,0.0101,522
46,2026-01-08,8910.0,8910.0,8900.0,8910,8910.0,0.0195,2111
47,2026-01-07,8740.0,8800.0,8700.0,8740,8740.0,0.0046,37702
48,2026-01-06,8700.0,8700.0,8680.0,8700,8700.0,0.0023,1650
49,2026-01-05,8680.0,8680.0,8680.0,8680,8680.0,0.02,145
50,2026-01-02,8510.0,8680.0,8510.0,8510,8510.0,-,109
51,2025-12-31,8510.0,8620.0,8510.0,8510,8510.0,-,34
52,2025-12-30,8510.0,8600.0,8510.0,8510,8510.0,0.0047,320
53,2025-12-29,8470.0,8500.0,8460.0,8470,8470.0,0.0012,2176
54,2025-12-24,8460.0,8460.0,8450.0,8460,8460.0,0.0012,557
55,2025-12-23,8450.0,8450.0,8450.0,8450,8450.0,0.0181,173
56,2025-12-22,8300.0,8300.0,8300.0,8300,8300.0,-,34
57,2025-12-19,8300.0,8300.0,8300.0,8300,8300.0,0.0036,400
58,2025-12-18,8270.0,8270.0,8270.0,8270,8270.0,-,63
59,2025-12-17,8270.0,8270.0,8230.0,8270,8270.0,-,1453
60,2025-12-16,8270.0,8270.0,8230.0,8270,8270.0,0.0049,1093
61,2025-12-15,8230.0,8280.0,8180.0,8230,8230.0,-0.0048,1514
62,2025-12-12,8270.0,8280.0,8170.0,8270,8270.0,-0.0012,1692
63,2025-12-11,8280.0,8280.0,8270.0,8280,8280.0,0.0024,1184
64,2025-12-10,8260.0,8280.0,8100.0,8260,8260.0,0.011,1888
65,2025-12-08,8170.0,8170.0,8170.0,8170,8170.0,-,-
66,2025-12-05,8170.0,8260.0,8110.0,8170,8170.0,-,179
67,2025-12-04,8170.0,8260.0,8100.0,8170,8170.0,0.0086,1041
68,2025-12-03,8100.0,8260.0,8100.0,8100,8100.0,-,750
69,2025-12-02,8100.0,8110.0,8050.0,8100,8100.0,0.0125,1621
70,2025-12-01,8000.0,8100.0,8000.0,8000,8000.0,-0.0123,780
71,2025-11-28,8100.0,8100.0,7890.0,8100,8100.0,0.0125,416
72,2025-11-27,8000.0,8000.0,7900.0,8000,8000.0,0.0139,408
73,2025-11-26,7890.0,7900.0,7810.0,7890,7890.0,0.0102,392183
74,2025-11-25,7810.0,7880.0,7750.0,7810,7810.0,-,595
75,2025-11-24,7810.0,7850.0,7750.0,7810,7810.0,0.0013,2375
76,2025-11-21,7800.0,7800.0,7800.0,7800,7800.0,-,570
77,2025-11-20,7800.0,7800.0,7750.0,7800,7800.0,-,200
78,2025-11-19,7800.0,7810.0,7800.0,7800,7800.0,-0.0114,4041
79,2025-11-18,7890.0,8000.0,7810.0,7890,7890.0,-0.0013,4405
80,2025-11-17,7900.0,8000.0,7880.0,7900,7900.0,0.0051,2451
81,2025-11-14,7860.0,7870.0,7840.0,7860,7860.0,0.0077,750
82,2025-11-13,7800.0,7840.0,7760.0,7800,7800.0,-0.0013,7410
83,2025-11-12,7810.0,7810.0,7800.0,7810,7810.0,0.0196,348
84,2025-11-11,7660.0,7680.0,7630.0,7660,7660.0,0.0052,278
85,2025-11-10,7620.0,7630.0,7600.0,7620,7620.0,0.0093,1746
86,2025-11-07,7550.0,7550.0,7550.0,7550,7550.0,-,30
87,2025-11-06,7550.0,7550.0,7550.0,7550,7550.0,0.0027,200
88,2025-11-05,7530.0,7530.0,7530.0,7530,7530.0,-,33570
89,2025-11-04,7530.0,7590.0,7530.0,7530,7530.0,-,420
90,2025-10-28,7530.0,7550.0,7520.0,7530,7530.0,0.004,730
91,2025-10-27,7500.0,7520.0,7460.0,7500,7500.0,0.0094,2359
92,2025-10-24,7430.0,7430.0,7430.0,7430,7430.0,-,-
93,2025-10-23,7430.0,7430.0,7430.0,7430,7430.0,-,92650
94,2025-10-22,7430.0,7430.0,7430.0,7430,7430.0,-,29
95,2025-10-21,7430.0,7440.0,7410.0,7430,7430.0,0.0027,3880
96,2025-10-20,7410.0,7410.0,7410.0,7410,7410.0,-,-
97,2025-10-17,7410.0,7410.0,7410.0,7410,7410.0,0.0014,640
98,2025-10-16,7400.0,7400.0,7400.0,7400,7400.0,-,10
99,2025-10-15,7400.0,7410.0,7400.0,7400,7400.0,-,80
100,2025-10-13,7400.0,7400.0,7380.0,7400,7400.0,0.0068,100983
101,2025-10-10,7350.0,7350.0,7350.0,7350,7350.0,-,145
102,2025-10-09,7350.0,7350.0,7350.0,7350,7350.0,0.0014,2484
103,2025-10-08,7340.0,7350.0,7320.0,7340,7340.0,0.0014,726
104,2025-10-07,7330.0,7330.0,7330.0,7330,7330.0,-,549
105,2025-10-06,7330.0,7330.0,7320.0,7330,7330.0,-,816
106,2025-10-03,7330.0,7450.0,7330.0,7330,7330.0,0.0027,716
107,2025-10-02,7310.0,7330.0,7310.0,7310,7310.0,-0.0014,2469
108,2025-10-01,7320.0,7320.0,7320.0,7320,7320.0,-,10
109,2025-09-30,7320.0,7320.0,7310.0,7320,7320.0,0.0027,280
110,2025-09-29,7300.0,7300.0,7300.0,7300,7300.0,-,301
111,2025-09-26,7300.0,7310.0,7220.0,7300,7300.0,-,1983
112,2025-09-25,7300.0,7310.0,7220.0,7300,7300.0,-,7728
113,2025-09-24,7300.0,7300.0,7200.0,7300,7300.0,0.0097,3748
114,2025-09-23,7230.0,7300.0,7220.0,7230,7230.0,0.0014,10023
115,2025-09-22,7220.0,7260.0,7200.0,7220,7220.0,0.0098,2770
116,2025-09-19,7150.0,7250.0,7100.0,7150,7150.0,-0.0111,14625
117,2025-09-18,7230.0,7300.0,7060.0,7230,7230.0,0.0042,3562
118,2025-09-17,7200.0,7200.0,7150.0,7200,7200.0,-,230
119,2025-09-16,7200.0,7350.0,7190.0,7200,7200.0,-0.0083,13464
120,2025-09-15,7260.0,7350.0,7200.0,7260,7260.0,-0.0082,1430
121,2025-09-12,7320.0,7350.0,7250.0,7320,7320.0,-,2950
122,2025-09-11,7320.0,7500.0,7250.0,7320,7320.0,-0.0054,1130
123,2025-09-10,7360.0,7500.0,7350.0,7360,7360.0,-,593
124,2025-09-09,7360.0,7500.0,7350.0,7360,7360.0,-0.0174,41897
125,2025-09-08,7490.0,7500.0,7300.0,7490,7490.0,0.0177,6281
126,2025-09-04,7360.0,7500.0,7350.0,7360,7360.0,-0.0147,6392
127,2025-09-03,7470.0,7500.0,7400.0,7470,7470.0,0.0027,3084
128,2025-09-02,7450.0,7500.0,7350.0,7450,7450.0,-0.0067,1513
129,2025-09-01,7500.0,7600.0,7490.0,7500,7500.0,-0.0132,2490
130,2025-08-29,7600.0,7600.0,7490.0,7600,7600.0,-0.0052,842
131,2025-08-28,7640.0,7700.0,7600.0,7640,7640.0,-0.0129,4277
132,2025-08-27,7740.0,7750.0,7700.0,7740,7740.0,-0.0013,3938
133,2025-08-26,7750.0,7750.0,7700.0,7750,7750.0,-0.0013,5240
134,2025-08-25,7760.0,7780.0,7700.0,7760,7760.0,-0.0039,11684
135,2025-08-22,7790.0,7800.0,7790.0,7790,7790.0,-,5000
136,2025-08-21,7790.0,7810.0,7790.0,7790,7790.0,0.0013,19551
137,2025-08-20,7780.0,7810.0,7780.0,7780,7780.0,0.0065,143759
138,2025-08-19,7730.0,7810.0,7730.0,7730,7730.0,-0.0051,32399
139,2025-08-18,7770.0,7780.0,7770.0,7770,7770.0,-0.0051,12549
140,2025-08-15,7810.0,7810.0,7810.0,7810,7810.0,-0.0188,202154
141,2025-08-14,7960.0,7960.0,7960.0,7960,7960.0,-0.0197,525452
142,2025-08-13,8120.0,8120.0,8120.0,8120,8120.0,-0.0193,437
143,2025-08-12,8280.0,8280.0,8280.0,8280,8280.0,-0.019,1064
144,2025-08-11,8440.0,8440.0,8440.0,8440,8440.0,-0.0197,403363
145,2025-08-07,8610.0,8610.0,8610.0,8610,8610.0,-0.0194,101543
146,2025-08-06,8780.0,8950.0,8780.0,8780,8780.0,-0.019,135
147,2025-08-05,8950.0,8950.0,8950.0,8950,8950.0,-0.0197,625
148,2025-08-04,9130.0,9130.0,9130.0,9130,9130.0,-,70
149,2025-08-01,9130.0,9130.0,9130.0,9130,9130.0,-,2000025
150,2025-07-31,9130.0,9130.0,9130.0,9130,9130.0,-,105
151,2025-07-30,9130.0,9130.0,9130.0,9130,9130.0,-0.0193,152
152,2025-07-29,9310.0,9310.0,9310.0,9310,9310.0,-0.02,85151
153,2025-07-28,9500.0,9500.0,9500.0,9500,9500.0,-,100
154,2025-07-25,9500.0,9500.0,9310.0,9500,9500.0,-,70054
155,2025-07-24,9500.0,9500.0,9310.0,9500,9500.0,-,50
156,2025-07-23,9500.0,9500.0,9310.0,9500,9500.0,-,59
157,2025-07-22,9500.0,9500.0,9310.0,9500,9500.0,-,100
158,2025-07-21,9500.0,9500.0,9500.0,9500,9500.0,-0.0196,618735
159,2025-07-18,9690.0,9690.0,9690.0,9690,9690.0,-,722070
160,2025-07-17,9690.0,9690.0,9690.0,9690,9690.0,-,160315
161,2025-07-16,9690.0,9690.0,9500.0,9690,9690.0,-,600100
162,2025-07-15,9690.0,9690.0,9500.0,9690,9690.0,-,639447
163,2025-07-14,9690.0,9690.0,9690.0,9690,9690.0,-0.0192,35870
164,2025-07-11,9880.0,9880.0,9880.0,9880,9880.0,-0.0198,648055
165,2025-07-10,10080.0,10080.0,10080.0,10080,10080.0,-,45
166,2025-07-09,10080.0,10080.0,10080.0,10080,10080.0,-,99
167,2025-07-08,10080.0,10080.0,10080.0,10080,10080.0,-,30
168,2025-07-04,10080.0,10080.0,10080.0,10080,10080.0,-,1808010
169,2025-07-03,10080.0,10080.0,10080.0,10080,10080.0,-0.0195,220
170,2025-07-02,10280.0,10280.0,10280.0,10280,10280.0,-,40
171,2025-07-01,10280.0,10280.0,10280.0,10280,10280.0,-0.0191,124
172,2025-06-30,10480.0,10480.0,10480.0,10480,10480.0,-,124
173,2025-06-27,10480.0,10480.0,10480.0,10480,10480.0,-,40
174,2025-06-26,10480.0,10480.0,10480.0,10480,10480.0,-0.0196,239
175,2025-06-25,10690.0,10690.0,10690.0,10690,10690.0,-,10
176,2025-06-24,10690.0,10690.0,10690.0,10690,10690.0,-,-
177,2025-06-23,10690.0,10690.0,10690.0,10690,10690.0,-,30
178,2025-06-20,10690.0,10690.0,10690.0,10690,10690.0,-,101
179,2025-06-19,10690.0,10690.0,10690.0,10690,10690.0,-0.0193,368
180,2025-06-18,10900.0,10900.0,10900.0,10900,10900.0,-,37
181,2025-06-17,10900.0,10900.0,10900.0,10900,10900.0,-,20
182,2025-06-16,10900.0,10900.0,10900.0,10900,10900.0,-,50
183,2025-06-13,10900.0,10900.0,10900.0,10900,10900.0,-,10
184,2025-06-12,10900.0,10900.0,10900.0,10900,10900.0,-,200010
185,2025-06-11,10900.0,10900.0,10900.0,10900,10900.0,-,10
186,2025-06-10,10900.0,10900.0,10900.0,10900,10900.0,-,-
187,2025-06-09,10082.0,10900.0,10900.0,10900,10082.0,-,255601
188,2025-06-06,10082.0,10082.0,10082.0,10900,10082.0,-,-
189,2025-06-05,10082.0,10900.0,10900.0,10900,10082.0,-,417000
190,2025-06-04,10082.0,10900.0,10900.0,10900,10082.0,-,34
191,2025-06-03,10082.0,10900.0,10900.0,10900,10082.0,-,34
192,2025-06-02,10082.0,10900.0,10900.0,10900,10082.0,-,68
193,2025-05-30,10082.0,10900.0,10900.0,10900,10082.0,-,10
194,2025-05-29,10082.0,10900.0,10900.0,10900,10082.0,-,140
195,2025-05-28,10082.0,10900.0,10900.0,10900,10082.0,-,59
196,2025-05-27,10082.0,10900.0,10900.0,10900,10082.0,-,529
197,2025-05-26,10082.0,10900.0,10900.0,10900,10082.0,-,230
198,2025-05-23,10082.0,10900.0,10900.0,10900,10082.0,-,1011
199,2025-05-22,10082.0,10900.0,10900.0,10900,10082.0,-,140
200,2025-05-21,10082.0,10900.0,10900.0,10900,10082.0,-,2608035
201,2025-05-20,10082.0,10900.0,10900.0,10900,10082.0,-,110
202,2025-05-19,10082.0,10900.0,10900.0,10900,10082.0,-,190
203,2025-05-16,10082.0,10900.0,10900.0,10900,10082.0,-,30
204,2025-05-15,10082.0,10900.0,10900.0,10900,10082.0,-,20
205,2025-05-14,10082.0,10900.0,10900.0,10900,10082.0,-,10
206,2025-05-13,10082.0,10900.0,10900.0,10900,10082.0,-,20
207,2025-05-12,10082.0,10900.0,10900.0,10900,10082.0,-,30
208,2025-05-09,10082.0,10900.0,10900.0,10900,10082.0,-,300
209,2025-05-08,10082.0,10900.0,10900.0,10900,10082.0,-,120
210,2025-05-07,10082.0,10900.0,10900.0,10900,10082.0,-,20
211,2025-05-06,10082.0,10900.0,10900.0,10900,10082.0,-,20
212,2025-05-05,10082.0,10900.0,10900.0,10900,10082.0,-,120
213,2025-05-02,10082.0,10900.0,10900.0,10900,10082.0,-,10
214,2025-04-30,10082.0,10900.0,10900.0,10900,10082.0,-,20
215,2025-04-29,10082.0,10900.0,10900.0,10900,10082.0,-,21
216,2025-04-28,10082.0,10900.0,10900.0,10900,10082.0,-,3
217,2025-04-25,10082.0,10900.0,10900.0,10900,10082.0,-,30
218,2025-04-24,10082.0,10082.0,10082.0,10900,10082.0,-,-
219,2025-04-23,10082.0,10900.0,10900.0,10900,10082.0,-,30
220,2025-04-22,10082.0,10900.0,10900.0,10900,10082.0,-,20
221,2025-04-17,10082.0,10900.0,10900.0,10900,10082.0,-,30
222,2025-04-16,10082.0,10900.0,10900.0,10900,10082.0,-,140
223,2025-04-15,10082.0,10900.0,10900.0,10900,10082.0,-,9
224,2025-04-14,10082.0,10900.0,10900.0,10900,10082.0,-,295542
225,2025-04-11,10082.0,10900.0,10900.0,10900,10082.0,-,130
