,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,11550.0,11550.0,11550.0,11550,11550.0,-,219
1,2026-03-17,11550.0,11780.0,11500.0,11550,11550.0,-,1582
2,2026-03-16,11550.0,11600.0,11550.0,11550,11550.0,0.007,795
3,2026-03-13,11470.0,11550.0,11450.0,11470,11470.0,-0.0009,8075
4,2026-03-12,11480.0,11490.0,11450.0,11480,11480.0,0.007,1289
5,2026-03-11,11400.0,11490.0,11380.0,11400,11400.0,-0.007,1997
6,2026-03-10,11480.0,11550.0,11380.0,11480,11480.0,-0.0112,3604
7,2026-03-09,11610.0,11900.0,11450.0,11610,11610.0,-0.006,17131
8,2026-03-06,11680.0,11980.0,11550.0,11680,11680.0,-0.0085,2925
9,2026-03-05,11780.0,11990.0,11700.0,11780,11780.0,-0.0126,12242
10,2026-03-04,11930.0,11990.0,11800.0,11930,11930.0,-0.0042,3102
11,2026-03-03,11980.0,12000.0,11800.0,11980,11980.0,-0.0017,3244
12,2026-03-02,12000.0,12100.0,11900.0,12000,12000.0,-0.0017,4687
13,2026-02-27,12020.0,12100.0,11930.0,12020,12020.0,0.0017,475978
14,2026-02-26,12000.0,12200.0,11950.0,12000,12000.0,-0.0132,8124
15,2026-02-23,12160.0,12180.0,12020.0,12160,12160.0,0.005,1654
16,2026-02-20,12100.0,12180.0,12020.0,12100,12100.0,0.0041,301721
17,2026-02-19,12050.0,12200.0,11950.0,12050,12050.0,0.0025,3303
18,2026-02-18,12020.0,12020.0,12020.0,12020,12020.0,-,346
19,2026-02-17,12020.0,12400.0,11950.0,12020,12020.0,-0.0131,2978
20,2026-02-16,12180.0,12400.0,12170.0,12180,12180.0,-0.0185,102416
21,2026-02-13,12410.0,12500.0,12200.0,12410,12410.0,-0.0024,304310
22,2026-02-12,12440.0,12620.0,12400.0,12440,12440.0,-0.0135,8213
23,2026-02-11,12610.0,12620.0,12500.0,12610,12610.0,-0.0032,5829
24,2026-02-10,12650.0,13000.0,12620.0,12650,12650.0,-0.0171,2894
25,2026-02-09,12870.0,12870.0,12780.0,12870,12870.0,0.0198,1191
26,2026-02-06,12620.0,12780.0,12360.0,12620,12620.0,0.0072,3754
27,2026-02-05,12530.0,12550.0,12400.0,12530,12530.0,0.0138,1300
28,2026-02-04,12360.0,12400.0,12250.0,12360,12360.0,0.0131,4503
29,2026-02-03,12200.0,12200.0,12050.0,12200,12200.0,0.0192,390
30,2026-02-02,11970.0,12000.0,11940.0,11970,11970.0,0.0034,820
31,2026-01-30,11930.0,11940.0,11750.0,11930,11930.0,0.0188,7955
32,2026-01-29,11710.0,11710.0,11710.0,11710,11710.0,-,-
33,2026-01-28,11710.0,11720.0,11710.0,11710,11710.0,0.0069,3811
34,2026-01-27,11630.0,11700.0,11410.0,11630,11630.0,0.0193,101016
35,2026-01-26,11410.0,11500.0,11400.0,11410,11410.0,-,11325
36,2026-01-23,11410.0,11500.0,11400.0,11410,11410.0,-,11325
37,2026-01-22,11410.0,11410.0,11400.0,11410,11410.0,0.0018,1121
38,2026-01-21,11390.0,11400.0,11260.0,11390,11390.0,0.017,5747
39,2026-01-20,11200.0,11250.0,11200.0,11200,11200.0,0.0045,403462
40,2026-01-19,11150.0,11200.0,11000.0,11150,11150.0,0.0136,4794
41,2026-01-16,11000.0,11100.0,10900.0,11000,11000.0,0.0092,1479
42,2026-01-15,10900.0,10900.0,10900.0,10900,10900.0,0.0074,140
43,2026-01-14,10820.0,10910.0,10810.0,10820,10820.0,0.0037,438
44,2026-01-13,10780.0,10780.0,10770.0,10780,10780.0,-,180
45,2026-01-09,10780.0,10800.0,10600.0,10780,10780.0,0.017,1984
46,2026-01-08,10600.0,10600.0,10600.0,10600,10600.0,-,373
47,2026-01-07,10600.0,10600.0,10600.0,10600,10600.0,0.0192,746
48,2026-01-06,10400.0,10450.0,10400.0,10400,10400.0,0.0107,609
49,2026-01-05,10290.0,10300.0,10210.0,10290,10290.0,0.0088,2588
50,2026-01-02,10200.0,10200.0,10150.0,10200,10200.0,-,727
51,2025-12-31,10200.0,10200.0,10150.0,10200,10200.0,0.0049,1629
52,2025-12-30,10150.0,10200.0,9900.0,10150,10150.0,0.015,5089
53,2025-12-29,10000.0,10900.0,9960.0,10000,10000.0,-,260
54,2025-12-24,10000.0,10500.0,9920.0,10000,10000.0,0.004,1091
55,2025-12-23,9960.0,10000.0,9920.0,9960,9960.0,-0.004,1520
56,2025-12-22,10000.0,10010.0,9950.0,10000,10000.0,0.003,3730
57,2025-12-19,9970.0,10010.0,9950.0,9970,9970.0,-0.003,1102
58,2025-12-18,10000.0,10000.0,9930.0,10000,10000.0,0.007,699
59,2025-12-17,9930.0,10000.0,9910.0,9930,9930.0,-,52974
60,2025-12-16,9930.0,10000.0,9900.0,9930,9930.0,0.001,5098
61,2025-12-15,9920.0,9930.0,9910.0,9920,9920.0,-0.003,1320
62,2025-12-12,9950.0,10000.0,9920.0,9950,9950.0,0.003,2387
63,2025-12-11,9920.0,10000.0,9900.0,9920,9920.0,-0.001,2512
64,2025-12-10,9930.0,10000.0,9910.0,9930,9930.0,-,5880
65,2025-12-08,9930.0,10000.0,9910.0,9930,9930.0,0.0081,1090
66,2025-12-05,9850.0,10100.0,9850.0,9850,9850.0,-0.0061,262
67,2025-12-04,9910.0,10040.0,9850.0,9910,9910.0,-0.007,3880
