,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,3180.0,3190.0,3180.0,3180,3180.0,0.0461,2455
1,2026-03-17,3040.0,3190.0,2760.0,3040,3040.0,0.0066,998
2,2026-03-16,3020.0,3200.0,2750.0,3020,3020.0,-0.0563,2913
3,2026-03-13,3200.0,3200.0,3190.0,3200,3200.0,-,997
4,2026-03-12,3200.0,3200.0,3100.0,3200,3200.0,0.0031,4341
5,2026-03-11,3190.0,3200.0,3100.0,3190,3190.0,0.0127,1894
6,2026-03-10,3150.0,3200.0,3000.0,3150,3150.0,0.0129,1092
7,2026-03-09,3110.0,3200.0,2800.0,3110,3110.0,-0.0189,1421
8,2026-03-06,3170.0,3200.0,3100.0,3170,3170.0,-0.0094,1828
9,2026-03-05,3200.0,3200.0,3100.0,3200,3200.0,0.0063,3345
10,2026-03-04,3180.0,3300.0,3100.0,3180,3180.0,-0.0185,3638
11,2026-03-03,3240.0,3300.0,3150.0,3240,3240.0,0.0125,721
12,2026-03-02,3200.0,3300.0,3100.0,3200,3200.0,0.0191,39225
13,2026-02-27,3140.0,3200.0,3000.0,3140,3140.0,-0.0126,19941
14,2026-02-26,3180.0,3200.0,3000.0,3180,3180.0,-,21763
15,2026-02-23,3180.0,3250.0,3180.0,3180,3180.0,-0.0063,6539
16,2026-02-20,3200.0,3200.0,3140.0,3200,3200.0,-,1011372
17,2026-02-19,3200.0,3200.0,3100.0,3200,3200.0,0.0063,2400
18,2026-02-18,3180.0,3200.0,3000.0,3180,3180.0,0.0127,8673
19,2026-02-17,3140.0,3200.0,3000.0,3140,3140.0,-0.0599,16016
20,2026-02-16,3340.0,3400.0,3190.0,3340,3340.0,0.0503,2079
21,2026-02-13,3180.0,3400.0,3100.0,3180,3180.0,-0.0063,673822
22,2026-02-12,3200.0,3400.0,3050.0,3200,3200.0,0.0031,4633
23,2026-02-11,3190.0,3300.0,3000.0,3190,3190.0,-0.0031,4340
24,2026-02-10,3200.0,3300.0,3000.0,3200,3200.0,0.0063,17132
25,2026-02-09,3180.0,3400.0,3000.0,3180,3180.0,0.0565,670557
26,2026-02-06,3010.0,3200.0,2900.0,3010,3010.0,0.0379,1003376
27,2026-02-05,2900.0,3000.0,2780.0,2900,2900.0,-0.0794,16176
28,2026-02-04,3150.0,3200.0,3000.0,3150,3150.0,0.05,3414
29,2026-02-03,3000.0,3300.0,2900.0,3000,3000.0,-0.0798,2350
30,2026-02-02,3260.0,3480.0,2680.0,3260,3260.0,0.0349,65017
31,2026-01-30,3150.0,3200.0,3000.0,3150,3150.0,-0.0337,1414
