,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,980,985,940,980,980,-0.0051,5782
1,2026-03-17,985,985,940,985,985,0.0103,8776
2,2026-03-16,975,980,850,975,975,-,10556
3,2026-03-13,975,975,950,975,975,-0.0102,8800
4,2026-03-12,985,990,970,985,985,-0.0051,5844
5,2026-03-11,990,990,970,990,990,-0.01,8885
6,2026-03-10,1000,1000,980,1000,1000,0.0204,3652
7,2026-03-09,980,980,970,980,980,-,7525
8,2026-03-06,980,1010,950,980,980,-0.02,20811
9,2026-03-05,1000,1010,1000,1000,1000,-0.0099,4449
10,2026-03-04,1010,1010,980,1010,1010,0.01,14512
11,2026-03-03,1000,1010,960,1000,1000,-0.0099,31959
12,2026-03-02,1010,1020,1000,1010,1010,0.005,14626
13,2026-02-27,1005,1020,890,1005,1005,0.0984,9978
14,2026-02-26,915,1020,810,915,915,0.0281,24295
15,2026-02-23,890,890,885,890,890,-,1740
16,2026-02-20,890,890,885,890,890,0.0056,8261
17,2026-02-19,885,890,880,885,885,-,28985
18,2026-02-18,885,890,880,885,885,-0.0112,5659
19,2026-02-17,895,950,885,895,895,-0.0628,27056
20,2026-02-16,955,1040,950,955,955,0.0495,10732
21,2026-02-13,910,1020,850,910,910,0.0225,39725
22,2026-02-12,890,890,865,890,890,-,12965
23,2026-02-11,890,890,880,890,890,-0.0166,5825
24,2026-02-10,905,990,880,905,905,-0.0163,8636
25,2026-02-09,920,1000,885,920,920,0.0222,20396
26,2026-02-06,900,1000,880,900,900,-0.0055,22071
27,2026-02-05,905,1010,870,905,905,0.0284,9407
28,2026-02-04,880,880,870,880,880,-0.0056,4960
29,2026-02-03,885,895,855,885,885,-0.0167,9368
30,2026-02-02,900,900,890,900,900,-,9453
31,2026-01-30,900,900,850,900,900,-0.011,7629
32,2026-01-29,910,950,850,910,910,-0.09,14406
33,2026-01-28,1000,1110,950,1000,1000,-0.0991,2688
34,2026-01-27,1110,1110,1050,1110,1110,-0.0826,4712
35,2026-01-26,1210,1270,1100,1210,1210,-,10556
36,2026-01-23,1210,1270,1100,1210,1210,0.0901,10556
37,2026-01-22,1110,1110,1110,1110,1110,-,130
38,2026-01-21,1110,1200,1010,1110,1110,0.0278,5774
39,2026-01-20,1080,1180,1010,1080,1080,-0.0609,8947
40,2026-01-19,1150,1160,1100,1150,1150,0.1386,3671
41,2026-01-16,1010,1100,900,1010,1010,0.0306,2811
42,2026-01-15,980,1000,900,980,980,-0.02,2237
43,2026-01-14,1000,1000,940,1000,1000,-,2321
44,2026-01-13,1000,1000,900,1000,1000,0.005,4495
45,2026-01-09,995,1000,950,995,995,0.0258,1987
46,2026-01-08,970,1000,900,970,970,-0.03,5349
47,2026-01-07,1000,1000,900,1000,1000,0.0638,4874
48,2026-01-06,940,1000,870,940,940,-0.06,3764
49,2026-01-05,1000,1030,900,1000,1000,-0.0196,10227
50,2026-01-02,1020,1030,1010,1020,1020,-0.0097,3689
51,2025-12-31,1030,1040,1030,1030,1030,0.0198,894
52,2025-12-30,1010,1040,1000,1010,1010,0.01,11211
53,2025-12-29,1000,1100,950,1000,1000,-,1321
54,2025-12-24,1000,1100,1000,1000,1000,-0.0566,1257
55,2025-12-23,1060,1100,950,1060,1060,0.06,1295
56,2025-12-22,1000,1000,1000,1000,1000,-0.0566,1938
57,2025-12-19,1060,1110,1000,1060,1060,-0.045,1849
58,2025-12-18,1110,1150,1000,1110,1110,0.11,1527
59,2025-12-17,1000,1000,990,1000,1000,0.1111,3243
60,2025-12-16,900,900,900,900,900,0.1321,165
61,2025-12-15,795,900,790,795,795,-0.0063,8322
62,2025-12-12,800,800,780,800,800,-,17226
63,2025-12-11,800,850,800,800,800,-0.0588,9118
64,2025-12-10,850,900,850,850,850,-0.0173,2969
65,2025-12-08,865,900,850,865,865,-0.0598,16453
66,2025-12-05,920,990,900,920,920,-0.08,1928
67,2025-12-04,1000,1000,870,1000,1000,0.087,926
68,2025-12-03,920,1000,875,920,920,0.0222,1422
69,2025-12-02,900,1000,875,900,900,0.0286,5161
70,2025-12-01,875,1000,875,875,875,-,228
71,2025-11-28,875,875,875,875,875,-,20
72,2025-11-26,875,875,850,875,875,0.0294,352
73,2025-11-25,850,875,850,850,850,-,235
74,2025-11-24,850,850,850,850,850,-,634
75,2025-11-21,850,850,850,850,850,-0.0116,1053
76,2025-11-20,860,875,850,860,860,-0.0171,1703
77,2025-11-19,875,900,850,875,875,-,161
78,2025-11-18,875,900,780,875,875,-0.0278,725
79,2025-11-17,900,900,850,900,900,-,375
80,2025-11-14,900,900,900,900,900,-0.0625,1830
81,2025-11-13,960,1000,900,960,960,-0.04,694
82,2025-11-12,1000,1000,950,1000,1000,0.0753,253
83,2025-11-11,930,950,900,930,930,-0.07,885
84,2025-11-10,1000,1000,900,1000,1000,0.1111,425
85,2025-11-07,900,1000,890,900,900,-0.1,646
86,2025-11-06,1000,1000,995,1000,1000,0.1364,1280
87,2025-11-05,880,890,785,880,880,-0.0112,509
88,2025-11-04,890,890,880,890,890,-,305
89,2025-10-30,890,890,890,890,890,0.0349,224
90,2025-10-28,860,880,850,860,860,0.0178,461
91,2025-10-27,845,850,840,845,845,-0.0059,3127
92,2025-10-24,850,850,850,850,850,-,589
93,2025-10-23,850,850,840,850,850,-0.0341,10376
94,2025-10-22,880,890,850,880,880,-0.0112,807
95,2025-10-21,890,890,880,890,890,0.0056,599
96,2025-10-20,885,890,880,885,885,-0.0056,270
97,2025-10-17,890,890,880,890,890,-,615
98,2025-10-16,890,890,890,890,890,0.0114,1230
99,2025-10-15,880,890,850,880,880,-,953
100,2025-10-13,880,890,850,880,880,0.0115,614
101,2025-10-10,870,890,850,870,870,-0.0225,752
102,2025-10-09,890,890,850,890,890,-,160
103,2025-10-08,890,890,890,890,890,-,100
104,2025-10-07,890,900,870,890,890,-0.0111,852
105,2025-10-06,900,900,870,900,900,0.0345,2089
106,2025-10-03,870,970,870,870,870,-,511
107,2025-10-02,870,1000,870,870,870,-,90
108,2025-10-01,870,870,855,870,870,-,774
109,2025-09-30,870,870,850,870,870,0.0357,1050
110,2025-09-29,840,870,830,840,840,-0.0175,4252
111,2025-09-26,855,870,820,855,855,-0.0058,3047
112,2025-09-25,860,860,860,860,860,-,24
113,2025-09-24,860,870,860,860,860,-0.0115,2342
114,2025-09-23,870,870,850,870,870,0.0116,1984
115,2025-09-22,860,860,860,860,860,-,1382
116,2025-09-19,860,860,800,860,860,-0.0115,501
