,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-18,685,720,670,685,685,-0.0214,8880
1,2026-03-17,700,800,670,700,700,-0.1026,9374
2,2026-03-16,780,800,700,780,780,0.1143,5785
3,2026-03-13,700,750,650,700,700,-0.0278,11637
4,2026-03-12,720,750,670,720,720,0.0909,14948
5,2026-03-11,660,670,590,660,660,0.1282,9089
6,2026-03-10,585,590,480,585,585,0.1359,20520
7,2026-03-09,515,520,480,515,515,0.1196,9143
8,2026-03-06,460,500,425,460,460,0.0337,7048
9,2026-03-05,445,480,420,445,445,0.023,27036
10,2026-03-04,435,440,395,435,435,-0.0333,3801
11,2026-03-03,450,480,430,450,450,-0.0625,12403
12,2026-03-02,480,480,445,480,480,0.1429,7591
13,2026-02-27,420,445,390,420,420,0.0769,5752
14,2026-02-26,390,400,390,390,390,-0.0127,9765
15,2026-02-23,395,400,370,395,395,-,5228
16,2026-02-20,395,400,385,395,395,-0.0125,3795
17,2026-02-19,400,400,390,400,400,0.0811,7602
18,2026-02-18,370,400,340,370,370,-,5846
19,2026-02-17,370,370,335,370,370,0.1212,7760
20,2026-02-16,330,330,330,330,330,-,316
21,2026-02-13,330,330,330,330,330,-,279
22,2026-02-12,330,370,310,330,330,-,13763
23,2026-02-11,330,330,300,330,330,-0.0571,22410
24,2026-02-10,350,400,330,350,350,-0.0909,47714
25,2026-02-09,385,400,350,385,385,-0.0253,13034
26,2026-02-06,395,400,385,395,395,-0.1023,5552
27,2026-02-05,440,500,400,440,440,0.0115,2132
28,2026-02-04,435,440,400,435,435,0.1299,5047
29,2026-02-03,385,430,350,385,385,-,4845
30,2026-02-02,385,440,380,385,385,-0.125,17730
31,2026-01-30,440,440,430,440,440,0.0115,1504
32,2026-01-29,435,440,420,435,435,-0.1122,7459
33,2026-01-28,490,500,440,490,490,-0.02,2997
34,2026-01-27,500,500,450,500,500,-,5208
35,2026-01-26,500,510,495,500,500,-,10535
36,2026-01-23,500,510,495,500,500,-,10535
37,2026-01-22,500,500,495,500,500,-,11614
38,2026-01-21,500,500,500,500,500,0.0101,2204
39,2026-01-20,495,500,490,495,495,-,12862
40,2026-01-19,495,500,480,495,495,0.125,638
41,2026-01-16,440,440,440,440,440,-,371
42,2026-01-15,440,440,400,440,440,-,1075
43,2026-01-14,440,440,410,440,440,0.1,3209
44,2026-01-13,400,440,400,400,400,-,1217
45,2026-01-09,400,400,370,400,400,-,2186
46,2026-01-08,400,400,385,400,400,0.0256,4684
47,2026-01-07,390,390,385,390,390,-,842
48,2026-01-06,390,390,385,390,390,-0.0127,2221
49,2026-01-05,395,400,385,395,395,0.0128,6855
50,2026-01-02,390,390,340,390,390,-,1637
51,2025-12-31,390,390,385,390,390,-,905
52,2025-12-30,390,390,340,390,390,-0.025,1947
53,2025-12-29,400,400,340,400,400,-,1094
54,2025-12-24,400,400,390,400,400,-,409
55,2025-12-23,400,400,390,400,400,-,769
56,2025-12-22,400,400,390,400,400,-,2083
57,2025-12-19,400,400,400,400,400,-,5983
58,2025-12-18,400,400,390,400,400,0.1268,9160
59,2025-12-17,355,400,345,355,355,-,302
60,2025-12-16,355,390,330,355,355,0.0143,6224
61,2025-12-15,350,360,350,350,350,-,157
62,2025-12-12,350,390,330,350,350,-,197
63,2025-12-11,350,380,325,350,350,-0.0789,704
64,2025-12-10,380,390,370,380,380,-,525
65,2025-12-08,380,390,380,380,380,-0.0256,508
66,2025-12-05,390,420,380,390,390,-,84
67,2025-12-04,390,440,390,390,390,-0.1136,140
68,2025-12-03,440,440,435,440,440,-,228
69,2025-12-02,440,440,440,440,440,-0.0222,110
70,2025-12-01,450,450,440,450,450,-0.0816,672
71,2025-11-28,490,490,490,490,490,-,146
72,2025-11-26,490,490,490,490,490,-,310
73,2025-11-25,490,490,490,490,490,-0.02,130
74,2025-11-24,500,500,500,500,500,-,72
75,2025-11-21,500,500,500,500,500,-,10
76,2025-11-20,500,500,500,500,500,-,20
77,2025-11-19,500,500,500,500,500,-,80
78,2025-11-18,500,500,500,500,500,-,846
79,2025-11-17,500,500,500,500,500,-,508
80,2025-11-14,500,500,460,500,500,-,45
81,2025-11-13,500,500,460,500,500,-,1240
82,2025-11-12,500,500,460,500,500,0.087,599
83,2025-11-11,460,500,460,460,460,-0.08,285
84,2025-11-10,500,500,450,500,500,0.1111,424
85,2025-11-07,450,500,450,450,450,-,277
86,2025-11-06,450,500,450,450,450,-,130
87,2025-11-05,450,465,450,450,450,-,556
88,2025-11-04,450,450,450,450,450,-0.0217,443
89,2025-11-03,460,460,460,460,460,-,10
90,2025-10-30,460,460,450,460,460,0.011,1102
91,2025-10-28,455,460,450,455,455,-0.0215,1006
92,2025-10-27,465,500,460,465,465,-0.07,4400
93,2025-10-24,500,520,460,500,500,0.087,4371
94,2025-10-23,460,500,460,460,460,-,45
95,2025-10-21,460,460,450,460,460,0.0222,463
96,2025-10-20,450,450,430,450,450,0.1392,6444
97,2025-10-17,395,395,395,395,395,-,127
98,2025-10-16,395,430,380,395,395,-0.0125,990
99,2025-10-15,400,400,380,400,400,0.1429,312
100,2025-10-13,350,375,330,350,350,0.0606,2863
101,2025-10-10,330,350,315,330,330,0.0313,10216
102,2025-10-09,320,320,285,320,320,0.1228,5112
103,2025-10-08,285,285,250,285,285,0.14,1143
104,2025-10-07,250,250,250,250,250,0.1364,1084
105,2025-10-06,220,230,210,220,220,0.0732,800
106,2025-10-03,205,205,205,205,205,-,164
107,2025-10-02,205,210,200,205,205,0.0513,675
108,2025-10-01,195,200,190,195,195,0.0263,2225
109,2025-09-30,190,195,185,190,190,0.0556,18468
110,2025-09-29,180,190,165,180,180,0.0588,1483
111,2025-09-26,170,170,165,170,170,-,3442
112,2025-09-25,170,170,165,170,170,0.0303,2088
113,2025-09-24,165,170,165,165,165,-,1186
114,2025-09-23,165,165,150,165,165,-,183
115,2025-09-22,165,165,150,165,165,-,872
116,2025-09-19,165,165,150,165,165,-,188
117,2025-09-18,165,165,165,165,165,-,406
118,2025-09-17,165,165,155,165,165,-,324
119,2025-09-16,165,165,155,165,165,-,1539
120,2025-09-15,165,170,150,165,165,0.0645,3994
121,2025-09-12,155,165,150,155,155,0.0333,1627
122,2025-09-11,150,150,145,150,150,-0.0909,4207
123,2025-09-10,165,165,150,165,165,-,3533
124,2025-09-09,165,165,165,165,165,0.0645,1369
125,2025-09-08,155,170,150,155,155,-,10113
126,2025-09-04,155,165,150,155,155,-0.0313,7307
127,2025-09-03,160,165,150,160,160,-0.0303,10637
128,2025-09-02,165,170,160,165,165,0.0645,11110
129,2025-09-01,155,160,140,155,155,-,21130
130,2025-08-29,155,160,140,155,155,-,29306
131,2025-08-28,155,155,155,155,155,-,8633
132,2025-08-27,155,155,155,155,155,0.1481,1468
133,2025-08-25,135,135,135,135,135,-,10
134,2025-08-22,135,140,135,135,135,-,5240
135,2025-08-21,135,135,135,135,135,0.125,2072
136,2025-08-18,120,120,120,120,120,-,12
137,2025-08-11,120,120,120,120,120,-,130
138,2025-08-06,120,120,120,120,120,-,4
139,2025-08-04,120,120,120,120,120,-,10
140,2025-07-30,120,120,120,120,120,-,90
141,2025-07-29,120,135,120,120,120,-,30
142,2025-07-17,120,120,120,120,120,-,10
143,2025-07-08,120,125,120,120,120,-,110
144,2025-07-03,120,120,120,120,120,-,10
145,2025-06-30,120,120,120,120,120,-,10
146,2025-06-12,120,120,120,120,120,-,102
147,2025-06-11,120,125,120,120,120,-,110
148,2025-06-10,120,120,120,120,120,-,40
149,2025-06-09,120,120,120,120,120,-,100
150,2025-06-02,120,120,120,120,120,-,207
151,2025-05-30,120,120,120,120,120,-,10
152,2025-05-27,120,130,120,120,120,-,170
153,2025-05-26,120,120,120,120,120,-,30
154,2025-05-20,120,120,120,120,120,-,10
155,2025-05-16,120,120,120,120,120,-,89
156,2025-05-15,120,120,120,120,120,-,20
157,2025-05-14,120,120,120,120,120,-,10
158,2025-05-02,120,120,120,120,120,-,260
159,2025-04-17,120,120,120,120,120,-,20
160,2025-04-10,120,120,120,120,120,-,500
161,2025-04-08,120,120,120,120,120,-,10
162,2025-03-14,120,120,120,120,120,-,20
163,2025-03-13,120,130,120,120,120,-,16
164,2025-03-07,120,120,120,120,120,-,13
165,2025-03-06,120,125,120,120,120,-,309
166,2025-03-05,120,120,120,120,120,-,391
167,2025-03-04,120,120,120,120,120,-,10
168,2025-02-26,120,120,120,120,120,-,76
169,2025-02-25,120,125,120,120,120,-,839
170,2025-02-24,120,125,120,120,120,-,95
171,2025-02-20,120,125,120,120,120,-,20
172,2025-02-11,120,120,120,120,120,-,70
173,2025-02-07,120,120,120,120,120,-,9
174,2025-02-06,120,120,120,120,120,-,9
175,2025-01-31,120,120,120,120,120,-,29
176,2025-01-30,120,120,120,120,120,-,10
177,2025-01-24,120,120,120,120,120,-,10
178,2025-01-16,120,130,120,120,120,-,10
179,2025-01-10,120,120,120,120,120,-,29
180,2025-01-09,120,120,120,120,120,-,9
181,2025-01-08,120,120,120,120,120,-,9
182,2025-01-02,120,120,120,120,120,-,160
183,2024-12-31,120,120,120,120,120,-,7
184,2024-12-30,120,120,120,120,120,-,10
185,2024-12-27,120,120,120,120,120,-,20
186,2024-12-24,120,120,120,120,120,-,210
187,2024-12-23,120,120,120,120,120,-,10
188,2024-12-20,120,120,120,120,120,-,176
189,2024-12-19,120,120,120,120,120,0.0909,3051
190,2024-12-16,110,110,110,110,110,-,100
191,2024-12-13,110,110,110,110,110,-,5
192,2024-12-12,110,110,110,110,110,-,80
193,2024-12-11,110,110,110,110,110,-,677
194,2024-12-10,110,120,110,110,110,-,238
195,2024-11-22,110,110,110,110,110,-,30
196,2024-11-18,110,110,110,110,110,-,100
197,2024-11-14,110,110,110,110,110,-,46
198,2024-11-13,110,110,110,110,110,-,20
199,2024-11-11,110,110,110,110,110,-,30
200,2024-11-04,110,110,110,110,110,-,20
201,2024-10-22,110,110,110,110,110,-,200
