,Date,Open,High,Low,Close,Adj. Close,Change,Volume
0,2026-03-19,800.0,810.0,780.0,800,800.0,0.0063,31770
1,2026-03-18,795.0,800.0,790.0,795,795.0,-,67483
2,2026-03-17,795.0,805.0,790.0,795,795.0,-0.0063,43690
3,2026-03-16,800.0,825.0,790.0,800,800.0,-0.0123,87544
4,2026-03-13,810.0,820.0,780.0,810,810.0,0.0062,31424
5,2026-03-12,805.0,830.0,790.0,805,805.0,-0.0183,86752
6,2026-03-11,820.0,820.0,800.0,820,820.0,0.025,23966
7,2026-03-10,800.0,830.0,790.0,800,800.0,-,48806
8,2026-03-09,800.0,810.0,790.0,800,800.0,0.0063,64435
9,2026-03-06,795.0,805.0,780.0,795,795.0,0.0192,16641
10,2026-03-05,780.0,805.0,760.0,780,780.0,-0.025,32476
11,2026-03-04,800.0,825.0,775.0,800,800.0,-0.0123,120724
12,2026-03-03,810.0,825.0,805.0,810,810.0,-0.0122,38201
13,2026-03-02,820.0,840.0,805.0,820,820.0,0.025,82255
14,2026-02-27,800.0,810.0,790.0,800,800.0,-0.0062,123916
15,2026-02-26,805.0,810.0,795.0,805,805.0,-0.0183,62757
16,2026-02-23,820.0,830.0,800.0,820,820.0,0.0314,68943
17,2026-02-20,795.0,815.0,760.0,795,795.0,-,132983
18,2026-02-19,795.0,815.0,775.0,795,795.0,-,124190
19,2026-02-18,795.0,815.0,775.0,795,795.0,-0.0245,96815
20,2026-02-17,815.0,830.0,800.0,815,815.0,-0.0298,67675
21,2026-02-16,840.0,840.0,825.0,840,840.0,-0.0289,20276
22,2026-02-13,865.0,880.0,830.0,865,865.0,0.0298,82707
23,2026-02-12,840.0,850.0,815.0,840,840.0,0.0307,57847
24,2026-02-11,815.0,820.0,800.0,815,815.0,0.0382,69882
25,2026-02-10,785.0,810.0,770.0,785,785.0,-0.0309,74867
26,2026-02-09,810.0,830.0,795.0,810,810.0,-0.0299,121754
27,2026-02-06,835.0,845.0,800.0,835,835.0,-0.006,51958
28,2026-02-05,840.0,850.0,830.0,840,840.0,-0.0175,59913
29,2026-02-04,855.0,870.0,835.0,855,855.0,-0.0116,54949
30,2026-02-03,865.0,875.0,850.0,865,865.0,0.0117,106464
31,2026-02-02,855.0,870.0,835.0,855,855.0,-0.0229,66522
32,2026-01-30,875.0,905.0,865.0,875,875.0,-0.0385,24876
33,2026-01-29,910.0,935.0,905.0,910,910.0,-0.0421,40732
34,2026-01-28,950.0,960.0,935.0,950,950.0,-0.0306,51061
35,2026-01-27,980.0,1000.0,950.0,980,980.0,-0.0151,151293
36,2026-01-26,995.0,1020.0,960.0,995,995.0,-,183293
37,2026-01-23,995.0,1020.0,960.0,995,995.0,0.0205,183293
38,2026-01-22,975.0,980.0,950.0,975,975.0,-0.0051,222463
39,2026-01-21,980.0,985.0,950.0,980,980.0,0.0426,206880
40,2026-01-20,940.0,950.0,900.0,940,940.0,0.033,261826
41,2026-01-19,910.0,925.0,895.0,910,910.0,0.0282,404496
42,2026-01-16,885.0,890.0,850.0,885,885.0,0.0412,64869
43,2026-01-15,850.0,850.0,850.0,850,850.0,0.0494,28025
44,2026-01-14,810.0,820.0,790.0,810,810.0,0.0318,15806
45,2026-01-13,785.0,790.0,760.0,785,785.0,0.0397,23468
46,2026-01-09,755.0,760.0,740.0,755,755.0,0.0414,8806
47,2026-01-08,725.0,740.0,670.0,725,725.0,0.0284,46828
48,2026-01-07,705.0,740.0,690.0,705,705.0,-,36603
49,2026-01-06,705.0,720.0,675.0,705,705.0,0.0217,57709
50,2026-01-05,690.0,710.0,670.0,690,690.0,0.0147,32517
51,2026-01-02,680.0,685.0,670.0,680,680.0,0.0382,16605
52,2025-12-31,655.0,670.0,645.0,655,655.0,0.0234,16680
53,2025-12-30,640.0,660.0,630.0,640,640.0,0.0079,30503
54,2025-12-29,635.0,675.0,620.0,635,635.0,-0.0155,47638
55,2025-12-24,645.0,650.0,630.0,645,645.0,0.032,15069
56,2025-12-23,625.0,635.0,600.0,625,625.0,0.0081,24771
57,2025-12-22,620.0,630.0,610.0,620,620.0,0.0248,50478
58,2025-12-19,605.0,625.0,600.0,605,605.0,-0.0082,99456
59,2025-12-18,610.0,630.0,605.0,610,610.0,0.0167,18217
60,2025-12-17,600.0,605.0,600.0,600,600.0,0.0256,44633
61,2025-12-16,585.0,605.0,575.0,585,585.0,-0.025,510442
62,2025-12-15,600.0,600.0,585.0,600,600.0,0.0084,40517
63,2025-12-12,595.0,605.0,580.0,595,595.0,0.0259,13368
64,2025-12-11,580.0,610.0,575.0,580,580.0,-0.0252,19148
65,2025-12-10,595.0,600.0,580.0,595,595.0,0.0171,20620
66,2025-12-08,585.0,595.0,575.0,585,585.0,-,6423
67,2025-12-05,585.0,595.0,575.0,585,585.0,-,13581
68,2025-12-04,585.0,590.0,580.0,585,585.0,0.0174,5043
69,2025-12-03,575.0,590.0,575.0,575,575.0,-0.0086,22292
70,2025-12-02,580.0,595.0,575.0,580,580.0,-0.0169,29943
71,2025-12-01,590.0,595.0,575.0,590,590.0,0.0172,13037
72,2025-11-28,580.0,600.0,575.0,580,580.0,-0.0169,39845
73,2025-11-27,590.0,590.0,580.0,590,590.0,0.0172,6197
74,2025-11-26,580.0,590.0,575.0,580,580.0,0.0087,21241
75,2025-11-25,575.0,590.0,570.0,575,575.0,-0.0086,64603
76,2025-11-24,580.0,590.0,575.0,580,580.0,-,21983
77,2025-11-21,580.0,590.0,575.0,580,580.0,-0.0085,17299
78,2025-11-20,585.0,590.0,575.0,585,585.0,-,7619
79,2025-11-19,585.0,595.0,575.0,585,585.0,-,24243
80,2025-11-18,585.0,600.0,575.0,585,585.0,-,15066
81,2025-11-17,585.0,590.0,580.0,585,585.0,0.0086,10578
82,2025-11-14,580.0,590.0,580.0,580,580.0,-0.0169,39880
83,2025-11-13,590.0,590.0,580.0,590,590.0,0.0172,8667
84,2025-11-12,580.0,590.0,575.0,580,580.0,-,9674
85,2025-11-11,580.0,590.0,575.0,580,580.0,-0.0085,41991
86,2025-11-10,585.0,590.0,580.0,585,585.0,0.0086,38666
87,2025-11-07,580.0,590.0,575.0,580,580.0,-0.0085,14239
88,2025-11-06,585.0,600.0,575.0,585,585.0,0.0174,23178
89,2025-11-05,575.0,600.0,570.0,575,575.0,-0.0254,35637
90,2025-11-04,590.0,600.0,570.0,590,590.0,-0.0167,2121
91,2025-10-30,600.0,600.0,595.0,600,600.0,0.0256,2535
92,2025-10-28,585.0,595.0,575.0,585,585.0,-,37897
93,2025-10-27,585.0,585.0,575.0,585,585.0,0.0174,4912
94,2025-10-24,575.0,590.0,575.0,575,575.0,-0.0171,41358
95,2025-10-23,585.0,590.0,565.0,585,585.0,-,2991
96,2025-10-22,585.0,590.0,580.0,585,585.0,0.0086,5369
97,2025-10-21,580.0,595.0,575.0,580,580.0,-0.0085,49011
98,2025-10-20,585.0,595.0,575.0,585,585.0,0.0086,28944
99,2025-10-17,580.0,590.0,575.0,580,580.0,-,20522
100,2025-10-16,580.0,590.0,575.0,580,580.0,0.0087,15522
101,2025-10-15,575.0,595.0,570.0,575,575.0,-0.0336,80827
102,2025-10-13,595.0,600.0,590.0,595,595.0,-,36347
103,2025-10-10,595.0,600.0,590.0,595,595.0,-,24770
104,2025-10-09,595.0,600.0,590.0,595,595.0,0.0085,7263
105,2025-10-08,590.0,600.0,585.0,590,590.0,-,18034
106,2025-10-07,590.0,600.0,585.0,590,590.0,-0.0084,1425173
107,2025-10-06,595.0,600.0,585.0,595,595.0,0.0171,21916
108,2025-10-03,585.0,600.0,585.0,585,585.0,-,27060
109,2025-10-02,585.0,595.0,585.0,585,585.0,-0.0085,36127
110,2025-10-01,590.0,600.0,585.0,590,590.0,0.0172,14836
111,2025-09-30,580.0,600.0,570.0,580,580.0,-,8158808
112,2025-09-29,580.0,585.0,575.0,580,580.0,-,7131
113,2025-09-26,580.0,585.0,575.0,580,580.0,0.0087,6669
114,2025-09-25,575.0,590.0,570.0,575,575.0,-0.0086,24254
115,2025-09-24,580.0,590.0,570.0,580,580.0,-0.0085,9155
116,2025-09-23,585.0,590.0,570.0,585,585.0,0.0174,60339
117,2025-09-22,575.0,600.0,570.0,575,575.0,-0.0086,50175
118,2025-09-19,580.0,590.0,570.0,580,580.0,0.0175,4493
119,2025-09-18,570.0,590.0,570.0,570,570.0,-,64778
120,2025-09-17,570.0,590.0,570.0,570,570.0,-,98784
121,2025-09-16,570.0,600.0,570.0,570,570.0,-0.0087,196293
122,2025-09-15,575.0,585.0,570.0,575,575.0,-,72278
123,2025-09-12,575.0,585.0,575.0,575,575.0,-0.0171,157102
124,2025-09-11,585.0,590.0,580.0,585,585.0,-,17694
125,2025-09-10,585.0,590.0,575.0,585,585.0,0.0086,13691
126,2025-09-09,580.0,600.0,580.0,580,580.0,-,13496
127,2025-09-08,580.0,600.0,575.0,580,580.0,-0.0085,49126
128,2025-09-04,585.0,600.0,575.0,585,585.0,-0.0168,7391
129,2025-09-03,595.0,600.0,580.0,595,595.0,0.0348,6323
130,2025-09-02,575.0,600.0,570.0,575,575.0,-0.0336,31376
131,2025-09-01,595.0,600.0,575.0,595,595.0,0.0259,11712
132,2025-08-29,580.0,600.0,580.0,580,580.0,0.0087,90283
133,2025-08-28,575.0,600.0,560.0,575,575.0,-0.0086,49217
134,2025-08-27,580.0,600.0,570.0,580,580.0,-,17922
135,2025-08-26,580.0,600.0,570.0,580,580.0,0.0087,14985
136,2025-08-25,575.0,580.0,570.0,575,575.0,0.0088,152827
137,2025-08-22,570.0,600.0,570.0,570,570.0,-0.0087,149091
138,2025-08-21,575.0,600.0,575.0,575,575.0,-,33070
139,2025-08-20,575.0,600.0,575.0,575,575.0,-0.0417,18862
140,2025-08-19,600.0,610.0,600.0,600,600.0,-0.0083,42067
141,2025-08-18,605.0,610.0,605.0,605,605.0,-,36885
142,2025-08-15,605.0,610.0,595.0,605,605.0,-0.0082,59986
143,2025-08-14,610.0,615.0,595.0,610,610.0,0.0083,59871
144,2025-08-13,605.0,610.0,605.0,605,605.0,-,7776
145,2025-08-12,584.8,605.0,600.0,605,584.8,0.0168,7735
146,2025-08-11,575.13,605.0,585.0,595,575.13,0.0259,27474
147,2025-08-07,560.64,590.0,550.0,580,560.63,0.0265,10121
148,2025-08-06,546.14,585.0,565.0,565,546.14,0.0089,10652
149,2025-08-05,541.3,565.0,550.0,560,541.3,0.0182,2157
150,2025-08-04,531.64,560.0,550.0,550,531.64,-,20673
151,2025-08-01,531.64,560.0,540.0,550,531.64,0.0185,386
152,2025-07-31,521.97,560.0,535.0,540,521.97,-,16082
153,2025-07-30,521.97,560.0,535.0,540,521.97,0.0093,8022
154,2025-07-29,517.14,570.0,535.0,535,517.14,-0.0093,65562
155,2025-07-28,521.97,550.0,535.0,540,521.97,0.0093,19547
156,2025-07-25,517.14,540.0,535.0,535,517.14,-,18007
157,2025-07-24,517.14,540.0,535.0,535,517.14,0.0094,18007
158,2025-07-23,512.3,540.0,530.0,530,512.3,-,134469
159,2025-07-22,512.3,540.0,530.0,530,512.3,0.0095,66689
160,2025-07-21,507.47,545.0,520.0,525,507.47,-0.0278,43969
161,2025-07-18,521.97,540.0,510.0,540,521.97,0.0385,45475
162,2025-07-17,502.64,540.0,510.0,520,502.64,-0.0189,13346
163,2025-07-16,512.3,555.0,530.0,530,512.3,-,48641
164,2025-07-15,512.3,530.0,520.0,530,512.3,0.0495,40045
165,2025-07-14,488.14,505.0,495.0,505,488.14,-0.0288,36510
166,2025-07-11,502.64,535.0,505.0,520,502.64,-0.0189,48367
167,2025-07-10,512.3,540.0,500.0,530,512.3,0.0192,18458
168,2025-07-09,502.64,530.0,510.0,520,502.64,-,30059
169,2025-07-08,502.64,530.0,510.0,520,502.64,0.0097,12953
170,2025-07-04,497.81,540.0,510.0,515,497.8,-,8949
171,2025-07-03,497.81,540.0,510.0,515,497.8,-,11214
172,2025-07-02,497.81,530.0,510.0,515,497.8,0.0098,30475
173,2025-07-01,492.97,510.0,490.0,510,492.97,0.0408,37550
174,2025-06-30,473.64,510.0,490.0,490,473.64,-0.02,23597
175,2025-06-27,483.31,510.0,490.0,500,483.31,0.0204,8075
176,2025-06-26,473.64,500.0,490.0,490,473.64,-,30497
177,2025-06-25,473.64,500.0,490.0,490,473.64,-,21644
178,2025-06-24,473.64,500.0,490.0,490,473.64,-,104286
179,2025-06-23,473.64,500.0,490.0,490,473.64,-,21607
180,2025-06-20,473.64,500.0,490.0,490,473.64,-,305679
181,2025-06-19,473.64,500.0,480.0,490,473.64,0.0208,28229
182,2025-06-18,463.97,495.0,475.0,480,463.97,-,42940
183,2025-06-17,463.97,500.0,475.0,480,463.97,-0.04,1862678
184,2025-06-16,483.31,520.0,495.0,500,483.31,-0.0385,17728
185,2025-06-13,502.64,545.0,520.0,520,502.64,-0.0459,83535
186,2025-06-12,526.8,545.0,545.0,545,526.8,-0.0439,3545
187,2025-06-11,550.97,570.0,570.0,570,550.97,-0.05,1216
188,2025-06-10,579.97,635.0,595.0,600,579.97,-0.04,2940
189,2025-06-09,604.13,665.0,620.0,625,604.13,-0.0385,1597
190,2025-06-06,628.3,665.0,635.0,650,628.3,-0.0226,14836
191,2025-06-05,642.8,665.0,665.0,665,642.8,-0.05,1475
192,2025-06-04,676.63,700.0,700.0,700,676.63,-0.0476,3423
193,2025-06-03,710.46,735.0,735.0,735,710.46,-0.0455,430
194,2025-06-02,744.29,744.29,744.29,770,744.29,-,-
195,2025-05-30,744.29,770.0,770.0,770,744.29,-,531067
196,2025-05-29,744.29,770.0,770.0,770,744.29,-,2788
197,2025-05-28,744.29,770.0,770.0,770,744.29,-,750
